,date,open,high,low,close,volume
0,2018-01-02,170.16,172.3,169.26,172.26,25555934
1,2018-01-03,172.53,174.55,171.96,172.23,29517899
2,2018-01-04,172.54,173.47,172.08,173.03,22434597
3,2018-01-05,173.44,175.37,173.05,175.0,23660018
4,2018-01-08,174.35,175.61,173.93,174.35,20567766
5,2018-01-09,174.55,175.06,173.41,174.33,21583997
6,2018-01-10,173.16,174.3,173.0,174.29,23959895
7,2018-01-11,174.59,175.49,174.49,175.28,18667729
8,2018-01-12,176.18,177.36,175.65,177.09,25418080
9,2018-01-16,177.9,179.39,176.14,176.19,29565947
10,2018-01-17,176.15,179.25,175.07,179.1,34386836
11,2018-01-18,179.37,180.1,178.25,179.26,31193352
12,2018-01-19,178.61,179.58,177.41,178.46,32425067
13,2018-01-22,177.3,177.78,176.6,177.0,27108551
14,2018-01-23,177.3,179.44,176.82,177.04,32689146
15,2018-01-24,177.25,177.3,173.2,174.22,51105090
16,2018-01-25,174.51,174.95,170.53,171.11,41529004
17,2018-01-26,172.0,172.0,170.06,171.51,39143011
18,2018-01-29,170.16,170.16,167.07,167.96,50640406
19,2018-01-30,165.53,167.37,164.7,166.97,46048185
20,2018-01-31,166.87,168.44,166.5,167.43,32478930
21,2018-02-01,167.17,168.62,166.76,167.78,47230787
22,2018-02-02,166.0,166.8,160.1,160.5,86593825
23,2018-02-05,159.1,163.88,156.0,156.49,72738522
24,2018-02-06,154.83,163.72,154.0,163.03,68243838
25,2018-02-07,163.09,163.4,159.07,159.54,51608580
26,2018-02-08,160.29,161.0,155.03,155.15,54390516
27,2018-02-09,157.07,157.89,150.24,156.41,70672608
28,2018-02-12,158.5,163.89,157.51,162.71,60819539
29,2018-02-13,161.95,164.75,161.65,164.34,32549163
30,2018-02-14,163.04,167.54,162.88,167.37,40644933
31,2018-02-15,169.79,173.09,169.0,172.99,51147171
32,2018-02-16,172.36,174.82,171.77,172.43,40176091
33,2018-02-20,172.05,174.26,171.42,171.85,33930540
34,2018-02-21,172.83,174.12,171.01,171.07,37471623
35,2018-02-22,171.8,173.95,171.71,172.5,30991940
36,2018-02-23,173.67,175.65,173.54,175.5,33812360
37,2018-02-26,176.35,179.39,176.21,178.97,38162174
38,2018-02-27,179.1,180.48,178.16,178.39,38928125
