Date,Price
6/1/2020,1.974
5/25/2020,1.96
5/18/2020,1.878
5/11/2020,1.851
5/4/2020,1.789
4/27/2020,1.773
4/20/2020,1.812
4/13/2020,1.853
4/6/2020,1.924
3/30/2020,2.005
3/23/2020,2.12
3/16/2020,2.248
3/9/2020,2.375
3/2/2020,2.423
2/24/2020,2.466
2/17/2020,2.428
2/10/2020,2.419
2/3/2020,2.455
1/27/2020,2.506
1/20/2020,2.537
1/13/2020,2.57
1/6/2020,2.578
12/30/2019,2.571
12/23/2019,2.532
12/16/2019,2.536
12/9/2019,2.561
12/2/2019,2.575
11/25/2019,2.579
11/18/2019,2.592
11/11/2019,2.615
11/4/2019,2.605
10/28/2019,2.596
10/21/2019,2.638
10/14/2019,2.629
10/7/2019,2.645
9/30/2019,2.642
9/23/2019,2.654
9/16/2019,2.552
9/9/2019,2.55
9/2/2019,2.563
8/26/2019,2.574
8/19/2019,2.598
8/12/2019,2.624
8/5/2019,2.688
7/29/2019,2.715
7/22/2019,2.75
7/15/2019,2.779
7/8/2019,2.743
7/1/2019,2.713
6/24/2019,2.654
6/17/2019,2.67
6/10/2019,2.732
6/3/2019,2.807
5/27/2019,2.822
5/20/2019,2.852
5/13/2019,2.866
5/6/2019,2.897
4/29/2019,2.887
4/22/2019,2.841
4/15/2019,2.828
4/8/2019,2.745
4/1/2019,2.691
3/25/2019,2.623
3/18/2019,2.548
3/11/2019,2.471
3/4/2019,2.422
2/25/2019,2.39
2/18/2019,2.317
2/11/2019,2.276
2/4/2019,2.254
1/28/2019,2.256
1/21/2019,2.251
1/14/2019,2.247
1/7/2019,2.237
12/31/2018,2.266
12/24/2018,2.321
12/17/2018,2.369
12/10/2018,2.421
12/3/2018,2.451
11/26/2018,2.539
11/19/2018,2.611
11/12/2018,2.686
11/5/2018,2.753
10/29/2018,2.811
10/22/2018,2.841
10/15/2018,2.879
10/8/2018,2.903
10/1/2018,2.866
9/24/2018,2.844
9/17/2018,2.841
9/10/2018,2.833
9/3/2018,2.824
8/27/2018,2.827
8/20/2018,2.821
8/13/2018,2.843
8/6/2018,2.852
7/30/2018,2.846
7/23/2018,2.831
7/16/2018,2.865
7/9/2018,2.857
7/2/2018,2.844
6/25/2018,2.833
6/18/2018,2.879
6/11/2018,2.911
6/4/2018,2.94
5/28/2018,2.962
5/21/2018,2.923
5/14/2018,2.873
5/7/2018,2.845
4/30/2018,2.846
4/23/2018,2.798
4/16/2018,2.747
4/9/2018,2.694
4/2/2018,2.7
3/26/2018,2.648
3/19/2018,2.598
3/12/2018,2.559
3/5/2018,2.56
2/26/2018,2.548
2/19/2018,2.557
2/12/2018,2.607
2/5/2018,2.637
1/29/2018,2.607
1/22/2018,2.567
1/15/2018,2.557
1/8/2018,2.522
1/1/2018,2.52
12/25/2017,2.472
12/18/2017,2.45
12/11/2017,2.485
12/4/2017,2.5
11/27/2017,2.533
11/20/2017,2.568
11/13/2017,2.592
11/6/2017,2.561
10/30/2017,2.488
10/23/2017,2.479
10/16/2017,2.489
10/9/2017,2.504
10/2/2017,2.565
9/25/2017,2.583
9/18/2017,2.634
9/11/2017,2.685
9/4/2017,2.679
8/28/2017,2.399
8/21/2017,2.36
8/14/2017,2.384
8/7/2017,2.378
7/31/2017,2.352
7/24/2017,2.312
7/17/2017,2.278
7/10/2017,2.297
7/3/2017,2.26
6/26/2017,2.288
6/19/2017,2.318
6/12/2017,2.366
6/5/2017,2.414
5/29/2017,2.406
5/22/2017,2.399
5/15/2017,2.369
5/8/2017,2.372
5/1/2017,2.411
4/24/2017,2.449
4/17/2017,2.436
4/10/2017,2.424
4/3/2017,2.36
3/27/2017,2.315
3/20/2017,2.321
3/13/2017,2.323
3/6/2017,2.341
2/27/2017,2.314
2/20/2017,2.302
2/13/2017,2.307
2/6/2017,2.293
1/30/2017,2.296
1/23/2017,2.326
1/16/2017,2.358
1/9/2017,2.388
1/2/2017,2.377
12/26/2016,2.309
12/19/2016,2.264
12/12/2016,2.236
12/5/2016,2.208
11/28/2016,2.154
11/21/2016,2.155
11/14/2016,2.184
11/7/2016,2.233
10/31/2016,2.23
10/24/2016,2.243
10/17/2016,2.257
10/10/2016,2.272
10/3/2016,2.245
9/26/2016,2.224
9/19/2016,2.225
9/12/2016,2.202
9/5/2016,2.223
8/29/2016,2.237
8/22/2016,2.193
8/15/2016,2.149
8/8/2016,2.15
8/1/2016,2.159
7/25/2016,2.182
7/18/2016,2.23
7/11/2016,2.253
7/4/2016,2.291
6/27/2016,2.329
6/20/2016,2.353
6/13/2016,2.399
6/6/2016,2.381
5/30/2016,2.339
5/23/2016,2.3
5/16/2016,2.242
5/9/2016,2.22
5/2/2016,2.24
4/25/2016,2.162
4/18/2016,2.137
4/11/2016,2.069
4/4/2016,2.083
3/28/2016,2.066
3/21/2016,2.007
3/14/2016,1.961
3/7/2016,1.841
2/29/2016,1.783
2/22/2016,1.73
2/15/2016,1.724
2/8/2016,1.759
2/1/2016,1.822
1/25/2016,1.856
1/18/2016,1.914
1/11/2016,1.996
1/4/2016,2.028
12/28/2015,2.034
12/21/2015,2.026
12/14/2015,2.037
12/7/2015,2.053
11/30/2015,2.059
11/23/2015,2.094
11/16/2015,2.178
11/9/2015,2.235
11/2/2015,2.224
10/26/2015,2.228
10/19/2015,2.277
10/12/2015,2.337
10/5/2015,2.318
9/28/2015,2.322
9/21/2015,2.327
9/14/2015,2.375
9/7/2015,2.437
8/31/2015,2.51
8/24/2015,2.637
8/17/2015,2.716
8/10/2015,2.629
8/3/2015,2.689
7/27/2015,2.745
7/20/2015,2.802
7/13/2015,2.834
7/6/2015,2.793
6/29/2015,2.801
6/22/2015,2.812
6/15/2015,2.835
6/8/2015,2.78
6/1/2015,2.78
5/25/2015,2.774
5/18/2015,2.744
5/11/2015,2.691
5/4/2015,2.664
4/27/2015,2.57
4/20/2015,2.485
4/13/2015,2.408
4/6/2015,2.413
3/30/2015,2.448
3/23/2015,2.457
3/16/2015,2.453
3/9/2015,2.487
3/2/2015,2.473
2/23/2015,2.332
2/16/2015,2.274
2/9/2015,2.191
2/2/2015,2.068
1/26/2015,2.044
1/19/2015,2.066
1/12/2015,2.139
1/5/2015,2.214
12/29/2014,2.299
12/22/2014,2.403
12/15/2014,2.554
12/8/2014,2.679
12/1/2014,2.778
11/24/2014,2.821
11/17/2014,2.894
11/10/2014,2.941
11/3/2014,2.993
10/27/2014,3.056
10/20/2014,3.12
10/13/2014,3.207
10/6/2014,3.299
9/29/2014,3.354
9/22/2014,3.353
9/15/2014,3.408
9/8/2014,3.457
9/1/2014,3.459
8/25/2014,3.454
8/18/2014,3.472
8/11/2014,3.505
8/4/2014,3.515
7/28/2014,3.539
7/21/2014,3.593
7/14/2014,3.635
7/7/2014,3.678
6/30/2014,3.704
6/23/2014,3.704
6/16/2014,3.686
6/9/2014,3.674
6/2/2014,3.69
5/26/2014,3.674
5/19/2014,3.665
5/12/2014,3.668
5/5/2014,3.684
4/28/2014,3.713
4/21/2014,3.683
4/14/2014,3.651
4/7/2014,3.596
3/31/2014,3.579
3/24/2014,3.549
3/17/2014,3.547
3/10/2014,3.512
3/3/2014,3.479
2/24/2014,3.444
2/17/2014,3.38
2/10/2014,3.309
2/3/2014,3.292
1/27/2014,3.295
1/20/2014,3.296
1/13/2014,3.327
1/6/2014,3.332
12/30/2013,3.331
12/23/2013,3.271
12/16/2013,3.239
12/9/2013,3.269
12/2/2013,3.272
11/25/2013,3.293
11/18/2013,3.219
11/11/2013,3.194
11/4/2013,3.265
10/28/2013,3.294
10/21/2013,3.36
10/14/2013,3.354
10/7/2013,3.367
9/30/2013,3.425
9/23/2013,3.495
9/16/2013,3.547
9/9/2013,3.587
9/2/2013,3.608
8/26/2013,3.552
8/19/2013,3.55
8/12/2013,3.561
8/5/2013,3.632
7/29/2013,3.646
7/22/2013,3.682
7/15/2013,3.639
7/8/2013,3.492
7/1/2013,3.496
6/24/2013,3.577
6/17/2013,3.626
6/10/2013,3.655
6/3/2013,3.646
5/27/2013,3.645
5/20/2013,3.673
5/13/2013,3.603
5/6/2013,3.538
4/29/2013,3.52
4/22/2013,3.536
4/15/2013,3.542
4/8/2013,3.608
4/1/2013,3.645
3/25/2013,3.68
3/18/2013,3.696
3/11/2013,3.71
3/4/2013,3.759
2/25/2013,3.784
2/18/2013,3.747
2/11/2013,3.611
2/4/2013,3.538
1/28/2013,3.357
1/21/2013,3.315
1/14/2013,3.303
1/7/2013,3.299
12/31/2012,3.298
12/24/2012,3.257
12/17/2012,3.254
12/10/2012,3.349
12/3/2012,3.394
11/26/2012,3.437
11/19/2012,3.429
11/12/2012,3.449
11/5/2012,3.492
10/29/2012,3.568
10/22/2012,3.687
10/15/2012,3.819
10/8/2012,3.85
10/1/2012,3.804
9/24/2012,3.826
9/17/2012,3.878
9/10/2012,3.847
9/3/2012,3.843
8/27/2012,3.776
8/20/2012,3.744
8/13/2012,3.721
8/6/2012,3.645
7/30/2012,3.508
7/23/2012,3.494
7/16/2012,3.427
7/9/2012,3.411
7/2/2012,3.356
6/25/2012,3.437
6/18/2012,3.533
6/11/2012,3.572
6/4/2012,3.613
5/28/2012,3.67
5/21/2012,3.715
5/14/2012,3.754
5/7/2012,3.79
4/30/2012,3.83
4/23/2012,3.87
4/16/2012,3.922
4/9/2012,3.939
4/2/2012,3.941
3/26/2012,3.918
3/19/2012,3.867
3/12/2012,3.829
3/5/2012,3.793
2/27/2012,3.721
2/20/2012,3.591
2/13/2012,3.523
2/6/2012,3.482
1/30/2012,3.439
1/23/2012,3.389
1/16/2012,3.391
1/9/2012,3.382
1/2/2012,3.299
12/26/2011,3.258
12/19/2011,3.229
12/12/2011,3.286
12/5/2011,3.29
11/28/2011,3.307
11/21/2011,3.368
11/14/2011,3.436
11/7/2011,3.424
10/31/2011,3.452
10/24/2011,3.462
10/17/2011,3.476
10/10/2011,3.417
10/3/2011,3.433
9/26/2011,3.509
9/19/2011,3.601
9/12/2011,3.661
9/5/2011,3.674
8/29/2011,3.627
8/22/2011,3.581
8/15/2011,3.604
8/8/2011,3.674
8/1/2011,3.711
7/25/2011,3.699
7/18/2011,3.682
7/11/2011,3.641
7/4/2011,3.579
6/27/2011,3.574
6/20/2011,3.652
6/13/2011,3.713
6/6/2011,3.781
5/30/2011,3.794
5/23/2011,3.849
5/16/2011,3.96
5/9/2011,3.965
5/2/2011,3.963
4/25/2011,3.879
4/18/2011,3.844
4/11/2011,3.791
4/4/2011,3.684
3/28/2011,3.596
3/21/2011,3.562
3/14/2011,3.567
3/7/2011,3.52
2/28/2011,3.383
2/21/2011,3.189
2/14/2011,3.14
2/7/2011,3.132
1/31/2011,3.101
1/24/2011,3.11
1/17/2011,3.104
1/10/2011,3.089
1/3/2011,3.07
12/27/2010,3.052
12/20/2010,2.982
12/13/2010,2.98
12/6/2010,2.958
11/29/2010,2.856
11/22/2010,2.876
11/15/2010,2.892
11/8/2010,2.865
11/1/2010,2.806
10/25/2010,2.817
10/18/2010,2.834
10/11/2010,2.819
10/4/2010,2.732
9/27/2010,2.694
9/20/2010,2.723
9/13/2010,2.721
9/6/2010,2.682
8/30/2010,2.682
8/23/2010,2.704
8/16/2010,2.745
8/9/2010,2.783
8/2/2010,2.735
7/26/2010,2.749
7/19/2010,2.722
7/12/2010,2.718
7/5/2010,2.726
6/28/2010,2.757
6/21/2010,2.743
6/14/2010,2.701
6/7/2010,2.725
5/31/2010,2.728
5/24/2010,2.786
5/17/2010,2.864
5/10/2010,2.905
5/3/2010,2.898
4/26/2010,2.849
4/19/2010,2.86
4/12/2010,2.858
4/5/2010,2.826
3/29/2010,2.798
3/22/2010,2.819
3/15/2010,2.788
3/8/2010,2.751
3/1/2010,2.702
2/22/2010,2.655
2/15/2010,2.608
2/8/2010,2.652
2/1/2010,2.661
1/25/2010,2.705
1/18/2010,2.739
1/11/2010,2.751
1/4/2010,2.665
