,CreatedDate,ClosedDate,Agency,ComplaintType,Descriptor,City
280001,2011-06-20 10:53:34,2011-06-20 15:15:10,DOF,DOF Property - Owner Issue,Remove Mortgage,GLEN OAKS
280002,2011-06-20 10:43:46,2011-06-30 11:33:32,DOT,Street Condition,Defective Hardware,BROOKLYN
280003,2011-06-20 11:14:08,2011-06-21 18:41:35,DHS,DHS Advantage - Tenant,Other Issue,SOUTH RICHMOND HILL
280004,2011-06-20 11:19:17,2011-06-20 14:11:47,DOT,Broken Muni Meter,No Receipt,FOREST HILLS
280005,2011-06-20 11:41:47,2011-06-27 10:22:55,DOF,SCRIE,SCRIE Recertification,NEW YORK
280006,2011-06-20 11:39:36,2011-06-24 09:07:31,DOF,SCRIE,SCRIE Application Problem,BROOKLYN
280007,2011-06-20 12:47:17,2011-06-21 09:59:33,DOF,DOF Property - Reduction Issue,Condo or Co-op Abatement,BROOKLYN
280008,2011-06-20 13:08:49,2011-06-22 13:43:12,DOF,DOF Property - Payment Issue,Misapplied Payment,QUEENS VILLAGE
280009,2011-06-20 00:00:00,2011-07-18 00:00:00,DOHMH,Rodent,Rat Sighting,NEW YORK
280010,2011-06-20 15:19:37,2011-06-20 18:57:27,NYPD,Noise - Street/Sidewalk,Loud Music/Party,BROOKLYN
280011,2011-06-20 15:26:03,2011-06-22 16:42:27,DHS,DHS Advantage -Landlord/Broker,Other Issue,STATEN ISLAND
280012,2011-06-20 15:21:42,2011-06-27 11:32:08,DOF,SCRIE,SCRIE Application Problem,NEW YORK
280013,2011-06-20 15:40:30,2011-06-22 15:41:39,DOT,Street Condition,Cave-in,NEW YORK
280014,2011-06-20 15:54:15,2011-06-27 11:44:38,DOF,SCRIE,SCRIE Application Problem,BRONX
280015,2011-06-20 16:06:16,2011-06-27 12:29:10,DOF,SCRIE,SCRIE Recertification,BRONX
280016,2011-06-20 16:46:36,2011-07-25 16:37:39,DPR,Animal in a Park,Dead Animal,ROCKAWAY PARK
280017,2011-06-20 17:34:18,2011-06-20 18:38:06,NYPD,Blocked Driveway,No Access,SOUTH RICHMOND HILL
280018,2011-06-20 17:51:42,2011-06-21 08:42:39,DOT,Sidewalk Condition,Blocked - Construction,NEW YORK
280019,2011-06-20 12:42:57,2011-06-30 12:05:05,DPR,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,QUEENS VILLAGE
280020,2011-06-20 13:29:55,2011-06-20 13:56:01,DPR,Dead Tree,Dead/Dying Tree,SOUTH OZONE PARK
280021,2011-06-20 13:37:18,2011-06-20 15:40:30,NYPD,Blocked Driveway,No Access,LONG ISLAND CITY
280022,2011-06-20 13:47:51,2011-06-29 08:50:42,DOT,Broken Parking Meter,Coin or Card Did Not Register,BROOKLYN
280023,2011-06-20 14:38:38,2011-06-27 10:51:54,DOF,SCRIE,SCRIE Assistance,WHTESTONE
280024,2011-06-20 14:17:17,2011-08-16 17:11:38,DPR,Dead Tree,Dead/Dying Tree,JAMAICA
280025,2011-06-20 14:45:29,2011-06-27 10:57:09,DOF,SCRIE,SCRIE Assistance,WHITESTONE
280026,2011-06-20 14:58:45,2011-06-22 10:11:14,DPR,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,BELLEROSE
280027,2011-06-20 15:17:12,2011-06-20 19:42:20,NYPD,Blocked Driveway,Partial Access,BROOKLYN
280028,2011-06-20 15:39:41,2012-03-01 14:29:17,EDC,Noise - Helicopter,Other,NEW YORK
280029,2011-06-20 14:47:28,,DPR,New Tree Request,For One Address,BROOKLYN
280030,2011-06-20 16:55:00,2011-07-01 21:15:00,DOT,Street Light Condition,Street Light Out,
280031,2011-06-20 16:50:50,2011-06-20 23:08:48,NYPD,Noise - Residential,Loud Music/Party,WOODHAVEN
280032,2011-06-20 16:57:02,2011-07-13 16:14:37,DOT,Street Condition,"Rough, Pitted or Cracked Roads",BROOKLYN
280033,2011-06-20 16:46:29,2011-09-23 07:50:26,DPR,Overgrown Tree/Branches,Hitting Building,BROOKLYN
280034,2011-06-20 00:00:00,2011-06-24 00:00:00,DOHMH,Rodent,Mouse Sighting,STATEN ISLAND
280035,2011-06-20 18:24:21,2011-06-21 09:14:09,DOHMH,Unsanitary Animal Pvt Property,Animal Waste,EAST ELMHURST
280036,2011-06-20 17:51:28,2013-12-11 09:12:33,DPR,New Tree Request,For One Address,WOODHAVEN
280037,2011-06-20 18:21:56,,DPR,Overgrown Tree/Branches,Hitting Power/Phone Lines,BRONX
280038,2011-06-20 18:36:47,2011-07-15 19:37:53,DOHMH,Unleashed Dog,Unleashed Dog in Public,EAST ELMHURST
280039,2011-06-20 18:41:34,2011-06-20 19:46:25,NYPD,Derelict Vehicle,With License Plate,BROOKLYN
280040,2011-06-20 16:19:20,,DPR,Overgrown Tree/Branches,Blocking Street,NEW YORK
280041,2011-06-20 19:01:31,2011-06-20 23:45:40,NYPD,Derelict Vehicle,With License Plate,BRONX
280042,2011-06-20 19:37:39,2011-06-28 08:07:07,DPR,Maintenance or Facility,Structure - Outdoors,BRONX
280043,2011-06-20 19:51:45,2011-06-20 21:04:36,NYPD,Blocked Driveway,No Access,BRONX
280044,2011-06-20 20:39:07,2011-06-22 09:14:06,DOT,Sidewalk Condition,Dumpster - Construction Waste,BRONX
280045,2011-06-20 20:47:16,2011-06-20 21:45:23,NYPD,Noise - Park,Loud Music/Party,FLUSHING
280046,2011-06-20 21:01:17,2011-06-20 22:53:27,NYPD,Noise - Residential,Loud Music/Party,RICHMOND HILL
280047,2011-06-20 09:23:44,2011-06-20 11:14:52,TLC,Taxi Complaint,Vehicle Complaint,NEW YORK
280048,2011-06-20 09:26:21,2011-06-20 11:14:43,TLC,Taxi Complaint,Driver Complaint,NEW YORK
280049,2011-06-20 09:30:45,,DOHMH,Food Establishment,Food Contains Foreign Object,NEW YORK
280050,2011-06-20 09:59:31,2011-06-20 11:23:22,DOB,Construction,Initial - Construction,COLLEGE POINT
280051,2011-06-20 09:03:27,2011-06-20 09:25:50,DPR,Damaged Tree,Branch Cracked and Will Fall,BROOKLYN
280052,2011-06-20 09:06:12,,DPR,Dead Tree,Dead/Dying Tree,NEW YORK
280053,2011-06-20 11:12:42,2011-07-14 14:12:36,DOT,Street Condition,Blocked - Construction,BROOKLYN
280054,2011-06-20 13:06:34,2011-06-30 11:58:51,DOT,Street Condition,Cave-in,BROOKLYN
280055,2011-06-20 13:16:42,2011-06-30 11:02:44,DOT,Street Condition,Cave-in,BROOKLYN
280056,2011-06-20 09:22:17,2011-06-20 11:14:43,TLC,Taxi Complaint,Driver Complaint,NEW YORK
280057,2011-06-20 09:35:32,2011-06-27 14:48:17,DOT,Street Condition,Cave-in,MASPETH
280058,2011-06-20 09:56:33,2011-06-20 11:43:38,DOB,Construction,Initial - Construction,FOREST HILLS
280059,2011-06-20 10:00:29,,DOHMH,Food Establishment,Food Contains Foreign Object,BROOKLYN
280060,2011-06-20 10:05:06,2011-06-20 11:36:02,DOB,Construction,Initial - Construction,FOREST HILLS
280061,2011-06-20 10:07:43,2011-06-20 13:24:37,DOB,Construction,Initial - BPP,OZONE PARK
280062,2011-06-20 13:23:17,2011-06-21 11:34:40,DHS,DHS Advantage -Landlord/Broker,Payment Not Received from DHS,BROOKLYN
280063,2011-06-20 13:48:29,2011-06-30 16:06:17,DOF,SCRIE,SCRIE Application Problem,BROOKLYN
280064,2011-06-20 13:29:28,2011-06-20 13:37:08,DPR,Overgrown Tree/Branches,Dead Branches in Tree,ROSEDALE
280065,2011-06-20 14:10:27,2011-06-21 12:48:48,DHS,DHS Advantage - Tenant,Other Issue,HOWARD BEACH
280066,2011-06-20 13:57:28,2011-06-27 09:34:50,DOF,SCRIE,SCRIE Application Problem,BROOKLYN
280067,2011-06-20 14:05:41,2011-06-30 07:10:35,DPR,Damaged Tree,Tree Leaning/Uprooted,LITTLE NECK
