"name","pop","location"
"Tokyo","8336599","https://www.google.com/maps/?q=35.6895,139.692"
"Yokohama","3574443","https://www.google.com/maps/?q=35.4333,139.65"
"Osaka","2592413","https://www.google.com/maps/?q=34.6937,135.502"
"Nagoya","2191279","https://www.google.com/maps/?q=35.1815,136.906"
"Sapporo","1883027","https://www.google.com/maps/?q=43.0667,141.35"
"Kobe","1528478","https://www.google.com/maps/?q=34.6913,135.183"
"Kyoto","1459640","https://www.google.com/maps/?q=35.0211,135.754"
"Fukuoka","1392289","https://www.google.com/maps/?q=33.6,130.417"
"Kawasaki","1306785","https://www.google.com/maps/?q=35.5206,139.717"
"Saitama","1193350","https://www.google.com/maps/?q=35.9081,139.657"
"Hiroshima","1143841","https://www.google.com/maps/?q=34.4,132.45"
"Yono","1077730","https://www.google.com/maps/?q=35.8833,139.633"
"Sendai","1063103","https://www.google.com/maps/?q=38.2667,140.867"
"Kitakyushu","997536","https://www.google.com/maps/?q=33.8518,130.85"
"Chiba","919729","https://www.google.com/maps/?q=35.6,140.117"
"Sakai","782339","https://www.google.com/maps/?q=34.5833,135.467"
"Shizuoka","701561","https://www.google.com/maps/?q=34.9833,138.383"
"Kumamoto","680423","https://www.google.com/maps/?q=32.8059,130.692"
"Okayama","639652","https://www.google.com/maps/?q=34.65,133.933"
"Hamamatsu","605098","https://www.google.com/maps/?q=34.7,137.733"
"Hachioji","579399","https://www.google.com/maps/?q=35.6558,139.324"
"Honcho","560743","https://www.google.com/maps/?q=35.7013,139.986"
"Kagoshima","555352","https://www.google.com/maps/?q=31.5667,130.55"
"Niigata","505272","https://www.google.com/maps/?q=37.8864,139.006"
"Himeji","481493","https://www.google.com/maps/?q=34.8167,134.7"
"Matsudo","470277","https://www.google.com/maps/?q=35.7799,139.901"
"Nishinomiya-hama","468925","https://www.google.com/maps/?q=34.7156,135.332"
"Kawaguchi","468565","https://www.google.com/maps/?q=35.8052,139.711"
"Kanazawa","458937","https://www.google.com/maps/?q=36.6,136.617"
"Utsunomiya","449865","https://www.google.com/maps/?q=36.5667,139.883"
"Oita","448907","https://www.google.com/maps/?q=33.2333,131.6"
"Matsuyama","443322","https://www.google.com/maps/?q=33.8392,132.766"
"Amagasaki","442173","https://www.google.com/maps/?q=34.7167,135.417"
"Kurashiki","437581","https://www.google.com/maps/?q=34.5833,133.767"
"Yokosuka","428992","https://www.google.com/maps/?q=35.2836,139.667"
"Nagasaki","410204","https://www.google.com/maps/?q=32.75,129.883"
"Hirakata","406331","https://www.google.com/maps/?q=34.8135,135.649"
"Machida","399969","https://www.google.com/maps/?q=35.5403,139.451"
"Gifu-shi","397714","https://www.google.com/maps/?q=35.4229,136.76"
"Fujisawa","394624","https://www.google.com/maps/?q=35.3493,139.477"
"Toyonaka","384459","https://www.google.com/maps/?q=34.7824,135.469"
"Fukuyama","383298","https://www.google.com/maps/?q=34.4833,133.367"
"Toyohashi","378374","https://www.google.com/maps/?q=34.7667,137.383"
"Minato","375339","https://www.google.com/maps/?q=34.2152,135.15"
"Nara-shi","367353","https://www.google.com/maps/?q=34.6851,135.805"
"Toyota","362383","https://www.google.com/maps/?q=35.0833,137.15"
"Nagano","360176","https://www.google.com/maps/?q=36.65,138.183"
"Iwaki","357309","https://www.google.com/maps/?q=37.05,140.883"
"Asahikawa","356612","https://www.google.com/maps/?q=43.7706,142.365"
"Takatsuki","354468","https://www.google.com/maps/?q=34.8483,135.617"
"Okazaki","352361","https://www.google.com/maps/?q=34.95,137.167"
"Suita","351630","https://www.google.com/maps/?q=34.7614,135.516"
"Wakayama","351000","https://www.google.com/maps/?q=34.2333,135.167"
"Koriyama","340560","https://www.google.com/maps/?q=37.4,140.383"
"Kashiwa","340221","https://www.google.com/maps/?q=35.8622,139.977"
"Tokorozawa","339435","https://www.google.com/maps/?q=35.7992,139.469"
"Kawagoe","337931","https://www.google.com/maps/?q=35.9086,139.485"
"Kochi","335570","https://www.google.com/maps/?q=33.55,133.533"
"Takamatsu","334223","https://www.google.com/maps/?q=34.3333,134.05"
"Toyama","325532","https://www.google.com/maps/?q=36.7,137.217"
"Akita","320069","https://www.google.com/maps/?q=39.7167,140.117"
"Koshigaya","317437","https://www.google.com/maps/?q=35.8904,139.789"
"Miyazaki","311203","https://www.google.com/maps/?q=31.9167,131.417"
"Naha","300795","https://www.google.com/maps/?q=26.2167,127.683"
"Kasugai","298589","https://www.google.com/maps/?q=35.2476,136.972"
"Aomori","298394","https://www.google.com/maps/?q=40.8167,140.733"
"Otsu","298164","https://www.google.com/maps/?q=35,135.867"
"Akashi","297279","https://www.google.com/maps/?q=34.6552,135.007"
"Yokkaichi","295841","https://www.google.com/maps/?q=34.9667,136.617"
"Morioka","295172","https://www.google.com/maps/?q=39.7,141.15"
"Fukushima","294237","https://www.google.com/maps/?q=37.75,140.467"
"Ichihara","283531","https://www.google.com/maps/?q=35.5167,140.083"
