"Timestamp","Total score","What is your major/ intended major? (i.e. Data Science)","What is your major/ intended major? (i.e. Data Science) [Score]","What is your major/ intended major? (i.e. Data Science) [Feedback]","What classes did you take last semester? Enter as course code ( i.e. Data 100, Stat 140, etc.)","What classes did you take last semester? Enter as course code ( i.e. Data 100, Stat 140, etc.) [Score]","What classes did you take last semester? Enter as course code ( i.e. Data 100, Stat 140, etc.) [Feedback]","What classes are you taking this semester? (follow the same format as above)","What classes are you taking this semester? (follow the same format as above) [Score]","What classes are you taking this semester? (follow the same format as above) [Feedback]","Out of the classes you've taken above, select three of which you would recommend to another student. (follow the same format as above)","Out of the classes you've taken above, select three of which you would recommend to another student. (follow the same format as above) [Score]","Out of the classes you've taken above, select three of which you would recommend to another student. (follow the same format as above) [Feedback]"
"2020/10/13 1:06:37 PM MDT","0.00 / 0","Data Science","-- / 0","","Data 100, CS 61B, Engin 120","-- / 0","","Ind Eng 135, Econ 140, Data C104, Ind Eng 95","-- / 0","","Econ 140, Data 100, Data C104","-- / 0",""
"2020/10/13 1:41:12 PM MDT","0.00 / 0","Data Science","-- / 0","","Data 100, CS 61B, Data 8, ETHSTD 21AC","-- / 0","","Data 104, CS 169A, Math 128A, CYPLAN 198","-- / 0","","ETHSTD 21AC, CS61B, Data 100","-- / 0",""
"2020/10/13 8:04:16 PM MDT","0.00 / 0","MCB and Econ","-- / 0","","Poli Sci 179, Hist 136, Bio 1A/L, Chem 3A, Chem 3B, Econ 100A, Econ 100B, ","-- / 0","","Econ 140, Physics 8A, MCB 102, Bio 1B, Chem 3BL","-- / 0","","Poli Sci 179, Econ 140, Econ 100A","-- / 0",""
"2020/10/13 9:32:07 PM MDT","0.00 / 0","Applied Math","-- / 0","","Data 8, Math 128A, Math 104, Stat 33A","-- / 0","","Data 100, IndEng 135, Math 185, Stat 33B","-- / 0","","Data 8, Data 100, Stat 33B","-- / 0",""
"2020/10/14 4:47:24 AM MDT","0.00 / 0","Data Science","-- / 0","","stat 134, ISF 100j,CHICANO 180AC, Data 100","-- / 0","","Data 102, Econ 140, Stat 150, Stat133","-- / 0","","Data 100,  Stat133,Stat 150","-- / 0",""
"2020/10/14 10:10:03 AM MDT","0.00 / 0","Economics, Legal Studies","-- / 0","","Econ 100A, Data c8, Stat 88, Info 98, Env des 1, PP101","-- / 0","","Econ 140, Econ 162, Legal 149, Cs61A, Stat 33a, UGIS 192 D","-- / 0","","Data c8, Envdes 1, econ 140","-- / 0",""
"2020/10/14 12:26:57 PM MDT","0.00 / 0","Economics","-- / 0","","Data 8, Econ C 175, Econ 100B ","-- / 0","","Econ 140, Data 88, Econ C110, Econ H195A","-- / 0","","Data8, Econ C110,","-- / 0",""
"2020/10/14 1:03:10 PM MDT","0.00 / 0","Economics + Business Administration","-- / 0","","UGBA 147, UGBA 105, UGBA 103, UGBA 104, ECON 135","-- / 0","","UGBA 102B, UGBA 106, UGBA 133,  UGBA 177, ECON 140","-- / 0","","UGBA 147, UGBA 104, ECON 140","-- / 0",""
"2020/10/14 4:40:29 PM MDT","0.00 / 0","Data Science","-- / 0","","Data 100, Stat 140, CompSci 61B","-- / 0","","Ind Eng 135, Data 104, Engin 120","-- / 0","","Data 100, CompSci 61B, Data 104","-- / 0",""
"2020/10/14 5:54:38 PM MDT","0.00 / 0","Cognitive Science","-- / 0","","Cog Sci 171, Cog Sci 180, Poli Sci 179, ASAMST 197","-- / 0","","Cog Sci 1, Cog Sci 170, EPS 7","-- / 0","","EPS 7, Cog Sci 170, Poli Sci 179","-- / 0",""
