dt,channel,username,message,toxic,severe_toxic,obscene,threat,insult,indentity_hate
2020-10-25 08:42:48,yamikazexz,santiagou0508,Kekw,0,0,0,0,0,0
2020-10-25 08:42:49,yamikazexz,digitaco1861,KEKW,0,0,0,0,0,0
2020-10-25 08:42:49,yamikazexz,paok04tsolak,int,0,0,0,0,0,0
2020-10-25 08:42:50,yamikazexz,tr1ckst0mp,jhin moment,0,0,0,0,0,0
2020-10-25 08:42:53,yamikazexz,theronxhunter,going insane monkaW,0,0,0,0,0,0
2020-10-25 08:42:53,yamikazexz,juscoz_,brub w,0,0,0,0,0,0
2020-10-25 08:42:54,yamikazexz,dariyoos,"@Yamikazexz maybe your posture is bad, because you sit on a garden chair ?",0,0,0,0,0,0
2020-10-25 08:42:54,yamikazexz,paok04tsolak,!int,0,0,0,0,0,0
2020-10-25 08:42:54,yamikazexz,highbreed420,u succ LUL,0,0,0,0,0,0
2020-10-25 08:42:54,yamikazexz,streamelements,Yami has inted 11649 times KEKW,0,0,0,0,0,0
2020-10-25 08:42:58,yamikazexz,brswiftkey,@yamikazexz duo with nb3,0,0,0,0,0,0
2020-10-25 08:43:00,yamikazexz,masterprocrastinator101,massive brain,0,0,0,0,0,0
2020-10-25 08:43:04,yamikazexz,catbeaniez,toxic?,0,0,0,0,0,0
2020-10-25 08:43:11,yamikazexz,abhiously,TALON BRAIN 5Head,0,0,0,0,0,0
2020-10-25 08:43:11,yamikazexz,mrgeopr,11649 times KEKW,0,0,0,0,0,0
2020-10-25 08:43:20,yamikazexz,highbreed420,walking cancer,0,0,0,0,0,0
2020-10-25 08:43:20,yamikazexz,formattax,you W'd there because you were anticipating flash 4Head,0,0,0,0,0,0
2020-10-25 08:43:21,yamikazexz,spluaks,why we don't see jungle map?,0,0,0,0,0,0
2020-10-25 08:43:23,yamikazexz,bobidobmk,@Yamikazexz yooooooooooooooo sup man,0,0,0,0,0,0
2020-10-25 08:43:29,yamikazexz,theronxhunter,@highbreed420 you are cancer,0,0,0,0,0,0
2020-10-25 08:43:30,yamikazexz,tennysonxz,!int,0,0,0,0,0,0
2020-10-25 08:43:30,yamikazexz,streamelements,Yami has inted 11650 times KEKW,0,0,0,0,0,0
2020-10-25 08:43:34,yamikazexz,juscoz_,bruh why couldnt u use pythagoras theorem to calculate the trajectory of the reksai r,0,0,0,0,0,0
2020-10-25 08:44:00,yamikazexz,akiraspeedracer,hi yamikaze do you know enthralled?,0,0,0,0,0,0
2020-10-25 08:44:01,yamikazexz,waff7,Pog,0,0,0,0,0,0
2020-10-25 08:44:03,yamikazexz,iscrunchcaptain,Pog,0,0,0,0,0,0
2020-10-25 08:44:04,yamikazexz,theronxhunter,EZ,0,0,0,0,0,0
2020-10-25 08:44:06,yamikazexz,highbreed420,lol nb3 fangirl buttclenching cuz i spit some truthz,0,0,0,0,0,0
2020-10-25 08:44:09,yamikazexz,bottletissue,PogChamp,0,0,0,0,0,0
2020-10-25 08:44:12,yamikazexz,basilola,kappa,0,0,0,0,0,0
2020-10-25 08:44:14,yamikazexz,tebubui,YOU'RE SO GOOD,0,0,0,0,0,0
2020-10-25 08:44:21,yamikazexz :@highbreed420 yea I'm spitting truth too,theronxhunter,),0,0,0,0,0,0
2020-10-25 08:44:26,yamikazexz,agusssstinnn,LOOL,0,0,0,0,0,0
2020-10-25 08:44:26,yamikazexz,brswiftkey,@highbreed420 shut it. rly,0,0,0,0,0,0
2020-10-25 08:44:28,yamikazexz,waff7,YAMI STOP YOU'RE GOOD,0,0,0,0,0,0
2020-10-25 08:44:34,yamikazexz,formattax,!matchup,0,0,0,0,0,0
2020-10-25 08:44:40,yamikazexz,azhar_9,finally losing it monkaW,0,0,0,0,0,0
2020-10-25 08:44:40,yamikazexz,streamelements,remember 2 follow widepeepoHappy,0,0,0,0,0,0
2020-10-25 08:44:40,yamikazexz,gigilang12,nb3LUL nb3LUL nb3LUL,0,0,0,0,0,0
2020-10-25 08:44:45,yamikazexz,madcatsadpet,tAloN aBusErs,0,0,0,0,0,0
2020-10-25 08:45:00,yamikazexz,rokamer06,DD,0,0,0,0,0,0
2020-10-25 08:45:01,yamikazexz,theronxhunter,5Head,0,0,0,0,0,0
2020-10-25 08:45:07,yamikazexz,forg1ven223,@yamikazexz you need to go to Kr serv probably,0,0,0,0,0,0
2020-10-25 08:45:10,yamikazexz,streamelements,Check out my discord channel at https://discordapp.com/invite/yamikaze !,0,0,0,0,0,0
2020-10-25 08:45:11,yamikazexz,donuts420glazeit,W H OMEGALUL,0,0,0,0,0,0
2020-10-25 08:45:15,yamikazexz,horonz,"@highbreed420 whether he is or not, your input on that isn't welcome here, here is a yamikazexz stream, not a nb3 stream, stop",0,0,0,0,0,0
2020-10-25 08:45:16,yamikazexz,abhiously,"last time i played talon, talon jungle was not legitimately playable, is that still true",0,0,0,0,0,0
2020-10-25 08:45:22,yamikazexz :nice to see u playing talon again,coderice,D,0,0,0,0,0,0
2020-10-25 08:45:22,yamikazexz,ravaleria,no triforce?,0,0,0,0,0,0
2020-10-25 08:45:25,yamikazexz,fehedwasti,"dont need pythagoras, just use y=mx+c",0,0,0,0,0,0
2020-10-25 08:45:26,yamikazexz,crriisspy,yami ur forehead is so pretty,0,0,0,0,0,0
2020-10-25 08:45:34,yamikazexz,spluaks,When Black cleaver before younmu?,0,0,0,0,0,0
2020-10-25 08:45:40,yamikazexz,streamelements,HandsUp,0,0,0,0,0,0
2020-10-25 08:45:40,yamikazexz,nightbot,HandsUp,0,0,0,0,0,0
2020-10-25 08:45:57,yamikazexz,darxium,!salt,0,0,0,0,0,0
2020-10-25 08:45:57,yamikazexz,streamelements,"@Darxium, Darxium has 22875 grains of salt and is rank 1195/280851 on the leaderboard.",0,0,0,0,0,0
2020-10-25 08:45:58,yamikazexz,theronxhunter,you don't need some math formula you only need to use your massive brains,0,0,0,0,0,0
2020-10-25 08:46:05,yamikazexz,mmd1997,ed sheeran,0,0,0,0,0,0
2020-10-25 08:46:16,yamikazexz,waff7,Pog,0,0,0,0,0,0
2020-10-25 08:46:21,yamikazexz,waff7,nuts,0,0,0,0,0,0
2020-10-25 08:46:21,yamikazexz,itsadixoxo,@Yamikazexz who's your twitch crush? like a female streamer not taco LUL,0,0,0,0,0,0
2020-10-25 08:46:23,yamikazexz,teemo10pt,POG,0,0,0,0,0,0
2020-10-25 08:46:25,yamikazexz,broken_existence,POGGERS,0,0,0,0,0,0
2020-10-25 08:46:31,yamikazexz,demosro,i still love you no matter what <3,0,0,0,0,0,0
2020-10-25 08:46:35,yamikazexz,broken_existence,pog with ed sheeran,0,0,0,0,0,0
2020-10-25 08:46:40,yamikazexz,streamelements,Check out my Youtube channel at www.youtube.com/c/yamikaze !,0,0,0,0,0,0
2020-10-25 08:46:43,yamikazexz,azhar_9,!runes,0,0,0,0,0,0
2020-10-25 08:46:43,yamikazexz,streamelements,https://clips.twitch.tv/CovertAuspiciousCheesecakeKappaWealth,0,0,0,0,0,0
2020-10-25 08:46:43,yamikazexz :nice hair cute,3koyyylol,DDDDDDDD,0,0,0,0,0,0
2020-10-25 08:46:45,yamikazexz,iscrunchcaptain,Ed Sheeran just win that fight,0,0,0,0,0,0
2020-10-25 08:46:53,yamikazexz :@yamikazexz yeah I find it difficult to farm a lot on talon cuz i lose a lot of time roaming,forg1ven223,/,0,0,0,0,0,0
2020-10-25 08:46:55,yamikazexz,losersqueueaddicted,how u survived so long there when I go in I get deleted?,0,0,0,0,0,0
2020-10-25 08:46:55,yamikazexz,abhiously,PepeLaugh,0,0,0,0,0,0
2020-10-25 08:46:56,yamikazexz,cringepapa,simp KEKW,0,0,0,0,0,0
2020-10-25 08:46:56,yamikazexz,aurelio1999,PepeHands,0,0,0,0,0,0
2020-10-25 08:46:57,yamikazexz,king_lear_ii,Trinn?,0,0,0,0,0,0
2020-10-25 08:46:58,yamikazexz,theronxhunter,news? monkaW,0,0,0,0,0,0
2020-10-25 08:46:59,yamikazexz,papachronus,you're my crush yami AYAYA,0,0,0,0,0,0
2020-10-25 08:46:59,yamikazexz,neonyawn,simp B),0,0,0,0,0,0
2020-10-25 08:47:00,yamikazexz,donuts420glazeit,PepeLaugh simps,0,0,0,0,0,0
2020-10-25 08:47:01,yamikazexz,azhar_9,PepeLaugh,0,0,0,0,0,0
2020-10-25 08:47:02,yamikazexz,made1n_china,simp,0,0,0,0,0,0
2020-10-25 08:47:09,yamikazexz,methalicious,"bro, you can't kill the simps",0,0,0,0,0,0
2020-10-25 08:47:10,yamikazexz,coderice,what matchups do you take elec on talon and what champs do u take conq on him?,0,0,0,0,0,0
2020-10-25 08:47:13,yamikazexz,bottletissue,LUL Simps,0,0,0,0,0,0
2020-10-25 08:47:13,yamikazexz,broken_existence,trueee,0,0,0,0,0,0
2020-10-25 08:47:13,yamikazexz,nightbot,LUL,0,0,0,0,0,0
2020-10-25 08:47:14,yamikazexz,westwardleech10,haha,0,0,0,0,0,0
2020-10-25 08:47:16,yamikazexz,anti_home,its ok yami i only love you,0,0,0,0,0,0
2020-10-25 08:47:19,yamikazexz,cringepapa,NO SHOT,0,0,0,0,0,0
2020-10-25 08:47:19,yamikazexz,theronxhunter,D: yami you said you love me before you didn't mean it?,0,0,0,0,0,0
2020-10-25 08:47:22,yamikazexz,mrgeopr,actually true PogChamp PogChamp,0,0,0,0,0,0
2020-10-25 08:47:23,yamikazexz,broken_existence,no simping bois,0,0,0,0,0,0
2020-10-25 08:47:27,yamikazexz,crriisspy,how do u know this,0,0,0,0,0,0
2020-10-25 08:47:28,yamikazexz,therealburntbologna,pepeLaugh Simps,0,0,0,0,0,0
2020-10-25 08:47:29,yamikazexz,nakajarin,Sooooo if u say u have a GF ur actually lying so 5head,0,0,0,0,0,0
2020-10-25 08:47:29,yamikazexz,crriisspy,hmmm,0,0,0,0,0,0
2020-10-25 08:47:31,yamikazexz,der_bisang,@yamikazexz So you playing Ahri today?,0,0,0,0,0,0
2020-10-25 08:47:31,yamikazexz,ttvsalami123,what did they do to you @Yamikazexz,0,0,0,0,0,0
2020-10-25 08:47:33,yamikazexz,snowie9m,are you twitch single?,0,0,0,0,0,0
2020-10-25 08:47:33,yamikazexz,c8r821,@Yamikazexz Why is triforce the 2yr sub badge? Did you run it in the past?,0,0,0,0,0,0
2020-10-25 08:47:33,yamikazexz,zeropower19,FACTS,0,0,0,0,0,0
2020-10-25 08:47:34,yamikazexz,formattax,B-but they call me bro dviperEvil,0,0,0,0,0,0
2020-10-25 08:47:35,yamikazexz,itsadixoxo,@Yamikazexz are you speaking from experience?,0,0,0,0,0,0
2020-10-25 08:47:35,yamikazexz,endeavour3,Do you know the definition of crush? just becuz he has a crush doesnt mean he wants to date them.,0,0,0,0,0,0
2020-10-25 08:47:35,yamikazexz,catbeaniez,i am gonna reach challenger just to quew up with yami,0,0,0,0,0,0
2020-10-25 08:47:36,yamikazexz,elephantism,yami are you twitch single or irl single,0,0,0,0,0,0
2020-10-25 08:47:36,yamikazexz,yamikazeisdaddy,oddly specific,0,0,0,0,0,0
2020-10-25 08:47:36,yamikazexz,broken_existence,pepeLaugh simps,0,0,0,0,0,0
2020-10-25 08:47:38,yamikazexz,avenicliar,did u get rejected by gamergirl?,0,0,0,0,0,0
2020-10-25 08:47:38,yamikazexz,made1n_china,so yami is Twitch single?,0,0,0,0,0,0
2020-10-25 08:47:38,yamikazexz,codebreaker76,LUL,0,0,0,0,0,0
2020-10-25 08:47:42,yamikazexz,broken_existence,FACTS,0,0,0,0,0,0
2020-10-25 08:47:43,yamikazexz,bronzehearts,"800 armor malphite, fun",0,0,0,0,0,0
2020-10-25 08:47:43,yamikazexz,westwardleech10,yami twitch single?,0,0,0,0,0,0
2020-10-25 08:47:45,yamikazexz,avenicliar,:face_with_tears_of_joy:,0,0,0,0,0,0
2020-10-25 08:47:45,yamikazexz,rats_ricez,bonJOUR,0,0,0,0,0,0
2020-10-25 08:47:51,yamikazexz,paok04tsolak,gamergirl messed u up?,0,0,0,0,0,0
2020-10-25 08:47:52,yamikazexz,bearreplays,828 armor lol,0,0,0,0,0,0
2020-10-25 08:47:53,yamikazexz,jonydart,@Yamikazexz what a boss,0,0,0,0,0,0
2020-10-25 08:47:56,yamikazexz,giardininaxos,I love that you are explaining this like we are 5 years of age,0,0,0,0,0,0
2020-10-25 08:47:59,yamikazexz,pro_cebula,dont u think that talon have some problem with mana ?,0,0,0,0,0,0
2020-10-25 08:48:00,yamikazexz,forg1ven223,@yamikazexz you speak personal experience there isnÕt it ? xD,0,0,0,0,0,0
2020-10-25 08:48:01,yamikazexz,made1n_china,YAMI ID TWITCH SINGLE!,0,0,0,0,0,0
2020-10-25 08:48:01,yamikazexz,sifusnorlax,is Yami twitch single O.o ??? hehe xd,0,0,0,0,0,0
2020-10-25 08:48:01,yamikazexz,rats_ricez,215 cs,0,0,0,0,0,0
2020-10-25 08:48:01,yamikazexz,methalicious,def not ok,0,0,0,0,0,0
2020-10-25 08:48:02,yamikazexz,bearreplays,malphite unkillable rn,0,0,0,0,0,0
2020-10-25 08:48:02,yamikazexz,lotawolf,Questionable on how you know this much,0,0,0,0,0,0
2020-10-25 08:48:05,yamikazexz,ttvsalami123,@yamikazex wat di they do to you?,0,0,0,0,0,0
2020-10-25 08:48:06,yamikazexz,rats_ricez,0-0,0,0,0,0,0,0
2020-10-25 08:48:06,yamikazexz,brswiftkey,@yamikazexz u are too damn handsome to be single,0,0,0,0,0,0
2020-10-25 08:48:07,yamikazexz,itsadixoxo,how do i clip that?,0,0,0,0,0,0
2020-10-25 08:48:08,yamikazexz,ii_no,yami is twitch single too?,0,0,0,0,0,0
2020-10-25 08:48:10,yamikazexz,itsadixoxo,someone help me,0,0,0,0,0,0
2020-10-25 08:48:14,yamikazexz,lookatyrownname,"you guys might think that having a crush on a twitch streamer is harmless, nah. it's actually not. stop it",0,0,0,0,0,0
2020-10-25 08:48:17,yamikazexz,bottletissue,"guys big tip, ""smash and dash"" LUL",0,0,0,0,0,0
2020-10-25 08:48:17,yamikazexz,3koyyylol,what if i simp for you and donate? will you love me?,0,0,0,0,0,0
2020-10-25 08:48:18,yamikazexz,ii_no,is he speaking out of experience?,0,0,0,0,0,0
2020-10-25 08:48:18,yamikazexz,aurelio1999,@Yamikazexz are u twitch single or are u maried to taco?,0,0,0,0,0,0
2020-10-25 08:48:23,yamikazexz,vicentovski,@lotawolf I mean it's kinda obvious,0,0,0,0,0,0
2020-10-25 08:48:26,yamikazexz,abhiously,wow very fair,0,0,0,0,0,0
2020-10-25 08:48:27,yamikazexz,bronzehearts,YEP balanced,0,0,0,0,0,0
2020-10-25 08:48:29,yamikazexz,theronxhunter,800 monkaW,0,0,0,0,0,0
2020-10-25 08:48:29,yamikazexz,broken_existence,800,0,0,0,0,0,0
2020-10-25 08:48:31,yamikazexz,azhar_9,YEP,0,0,0,0,0,0
2020-10-25 08:48:34,yamikazexz,broken_existence,BALANCED KEKW,0,0,0,0,0,0
2020-10-25 08:48:37,yamikazexz,iscrunchcaptain,He only have 2 items,0,0,0,0,0,0
2020-10-25 08:48:38,yamikazexz,predator_ad,830 monkaW,0,0,0,0,0,0
2020-10-25 08:48:46,yamikazexz,broken_existence,tanks do something,0,0,0,0,0,0
2020-10-25 08:48:47,yamikazexz,ccatabolism,tunnet,0,0,0,0,0,0
2020-10-25 08:48:49,yamikazexz,madcatsadpet,ZE THROWS,0,0,0,0,0,0
2020-10-25 08:48:51,yamikazexz,coderice,HOW TF DOES HE HAVE 800 wtf,0,0,0,0,0,0
2020-10-25 08:48:52,yamikazexz,none00y,Malphs shield gives him like 2x or 3x his armor thats why,0,0,0,0,0,0
2020-10-25 08:48:52,yamikazexz,vote4panda,biggest throw,0,0,0,0,0,0
2020-10-25 08:48:53,yamikazexz,rats_ricez,oh,0,0,0,0,0,0
2020-10-25 08:48:53,yamikazexz,theronxhunter,losing KEKW,0,0,0,0,0,0
2020-10-25 08:48:53,yamikazexz,formattax,oh my god he can die?,0,0,0,0,0,0
2020-10-25 08:48:53,yamikazexz,methalicious,tttttthrow,0,0,0,0,0,0
2020-10-25 08:48:55,yamikazexz,rats_ricez,uh oh,0,0,0,0,0,0
2020-10-25 08:48:55,yamikazexz,horonz,is that basically rammus with a useful R? LUL,0,0,0,0,0,0
2020-10-25 08:48:55,yamikazexz,vote4panda,gg,0,0,0,0,0,0
2020-10-25 08:48:57,yamikazexz,rats_ricez,ummm,0,0,0,0,0,0
2020-10-25 08:48:58,yamikazexz,vote4panda,its over,0,0,0,0,0,0
2020-10-25 08:49:00,yamikazexz,dschese,Sadge,0,0,0,0,0,0
2020-10-25 08:49:01,yamikazexz,azhar_9,ACE YEP,0,0,0,0,0,0
2020-10-25 08:49:01,yamikazexz,sifusnorlax,"""i see why we're winning this game""",0,0,0,0,0,0
