,content,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,cosmetic items like the carrionette wig shouldn't be covered up by a helmet smh,0.0,0.0,0.0,0.0,0.0,0.0
1,ne one wanna play some pubg? steam is basstomouth6425,0.0,0.0,0.0,0.0,0.0,0.0
2,"> is there any thread where we can report players who cheat, but don't have the replays since i have the deathcam disabled?
<@!297437882476396545> You can report the players using the in-game report system. If they are using unauthorized software they will be investigated and banned. If you want to report players externally you can do so, with video evidence, on our customer support page <https://www.pubg.com/en-us/support/>",0.0,0.0,0.0,0.0,0.0,0.0
3,"i mean, i reported all three of them but still havent gotten the ban notification...and if anyone is going to try to convince me that a 77% winrate in 113 games (the guy is currently #1 player in fpp squad according to op.gg site) is humanly possible...well that would be an insult to my intelligence",0.0,0.0,0.0,0.0,0.0,0.0
4,"yall need to step up your AC game, since there are so so many cheater stats in that top500 leaderboard, that it's just absurd...",0.0,0.0,0.0,0.0,0.0,0.0
5,sry,0.0,0.0,0.0,0.0,0.0,0.0
6,cant play,0.0,0.0,0.0,0.0,0.0,0.0
7,"<@!110603900771405824> is there any thread where we can report players who cheat, but don't have the replays since i have the deathcam disabled? yesterday we played ranked and there was this squad, who was obviously cheating (op.gg links are: https://pubg.op.gg/user/nijjss https://pubg.op.gg/user/LYG-king https://pubg.op.gg/user/J9un_ )...and im guessing the report system kinda failed with these players, since one of them has over 100 games with a 75% winrate? not to mention that two of them are ranked #2 in the  leaderboards??",0.0,0.0,0.0,0.0,0.0,0.0
8,like can't yall make a system which would redflag suspicious stats? since there is no effin way that a guy with a 160ADR can have a 75% winrate. this is getting kinda ridiculous,0.0,0.0,0.0,0.0,0.0,0.0
9,"not to be disrespectful, but at times it seems like the devs don't even know what kind of game they made, and what is humanly possible and what is not.",0.0,0.0,0.0,0.0,0.0,0.0
10,any way i can use my pubg on console on pc ? Dont got enough to get pubg on pc,0.0,0.0,0.0,0.0,0.0,0.0
11,.,0.0,0.0,0.0,0.0,0.0,0.0
12,"Anybody from Delhi of age group 15-19 years.. 

Please participate in this gaming survey.
https://forms.gle/Rqcho2UCE1zF9CiE9",0.0,0.0,0.0,0.0,0.0,0.0
13,Wkfvdf,0.0,0.0,0.0,0.0,0.0,0.0
14,among us,0.0,0.0,0.0,0.0,0.0,0.0
15,Anyone know if Paramo is down for console? Shit is so fucked. Game won't even start. What a dumb company 🤣,0.0,0.0,0.0,0.0,0.0,0.0
16,does anyone plays pubg pc lite?,0.0,0.0,0.0,0.0,0.0,0.0
17,"This is the Official PUBG Discord for PC Steam, Xbox, and PlayStation 4, we do not provide support for PUBG LITE.

Please visit the official PUBG LITE Discord server:
https://discord.gg/pubglite",0.0,0.0,0.0,0.0,0.0,0.0
18,"I wish it was free lol, would've saved melike $60",0.0,0.0,0.0,0.0,0.0,0.0
19,annyone Want to play pc duo ?,0.0,0.0,0.0,0.0,0.0,0.0
20,Now how do I get better at this game lool,0.0,0.0,0.0,0.0,0.0,0.0
21,I want PUBG Mobile members to contact him in my official account,0.0,0.0,0.0,0.0,0.0,0.0
22,"This is the Official PUBG Discord for PC, Xbox, PlayStation 4, and Stadia, we do not provide support for PUBG Mobile.

Please visit the official PUBG Mobile Discord server:
http://discord.gg/pubgm",0.0,0.0,0.0,0.0,0.0,0.0
23,"> <@!419518776992858122> Doubt he was cheating. Beryl 6x full auto spray is pretty effective lol
<@409827982455078912>
He was using red dot. He killed me without a single bullet missing the target. Also he knew I was behind a certain building and he was crouch waiting me whilst going closer with his team after he killed my other two teammates. No previous vision or gunshot of me or whatsoever. I know when I am beat and there was clearly a cheat honestly.",0.0,0.0,0.0,0.0,0.0,0.0
