,Tweet,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,"Damn my twitter feed weird
It goes from VR game dev cooking dinner, to femboy cumming hands free, to League of Legends news
What a time to be alive",0,0,0,0,0,0
1,just willingly watched him play league of legends i am down BAD !!,0,0,0,0,0,0
2,@TakashiZeroTV have you heard of this game called League of Legends,0,0,0,0,0,0
3,does anyone here play league of legends?,0,0,0,0,0,0
4,I secretly play League of Legends when Matthew turns me off.,0,0,0,0,0,0
5,"@ESPN_Esports is there any chance that the League of Legends Fantasy Leagues will continue for regular Spring/Summer Splits going forward, or was this just a Worlds thing? #espn",0,0,0,0,0,0
6,"@JakeSucky ""Jung ""Impact"" Eon-yeong, the highest-paid player in the League of Legends Championship Series in 2020. Impact's contract with Liquid will expire on Nov. 16. In late 2017, Impact signed a three-year deal with Liquid that saw him entitled to $3.4 million over the deal's lifespan""",0,0,0,0,0,0
7,"No stream tonight. I’m going to finish watching Barbarians. 

This week I will be trying something new...

League of Legends!",0,0,0,0,0,0
8,guys league of legends anyone want to play,0,0,0,0,0,0
9,"RT @GlenwoodEsports: Another exciting week of @IHSEA_org esports action is in the books! Lets recap:
- Varsity and JV OW take strong wins o…",0,0,0,0,0,0
10,.@Zedd should play #Zed for the Verizon League of Legends: Wild Rift 5G Invitational! Disagree? Vote for your pick and you could also be in the running to win the new #iPhone12 Pro with 5G thanks to @Verizon! #5GJustGotReal #VerizonWRsweeps,0,0,0,0,0,0
11,"I like League of legends because I had a guy say I don't care about the role I got I'm playing what I want, then he went 1/9",1,0,0,0,0,0
12,"Tonight we made history as our League of Legends team finishes as the @playvs CLoL Fall Invitational North Region Champions with a 2-1 comeback win over @BoilermakersLoL !

With that we qualify for the National Invitational starting on Tuesday!",0,0,0,0,0,0
13,@zamboni_goblin It’s basically league of legends with Blizzard characters from WoW and Diablo and Starcraft,0,0,0,0,0,0
14,"@RiasSerenity none.

I have infinite stamina when it comes to these kinda things, maybe its a problem, maybe it isnt.

I understand that I am a rare breed, but after playing nothing but League of Legends for 6 years, I can do anything.",0,0,0,0,0,0
15,"I am 99% certain I will be streaming League of Legends for the FIRST time EVER. I am aware that is rare amongst the gaming community, and that I am one of the last people on the face of the earth to have not played League. To enjoy my first reaction have notifications on ;) #LOL",0,0,0,0,0,0
16,@HermesCostellOW league of legends ?,0,0,0,0,0,0
17,@RiotSupport hi is there any update when riot will make a new and usable client for league of legends? Thanks,0,0,0,0,0,0
18,"ratatouille 2

following the closure of the second restaurant and ego’s death, remy decides to use linguini’s body to take advantage of another one of his talents - league of legends",0,0,0,0,0,0
