Name,Console,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Tekken 3D: Prime Edition,3DS,2012.0,Fighting,Nintendo,0.06,0.07,0.05,0.01,0.2,64.0,42.0,5.9,39.0,Arika,T
Freelancer,PC,2003.0,Simulation,Microsoft Game Studios,0.02,0.02,0.0,0.01,0.05,85.0,39.0,9.0,185.0,Digital Anvil,T
Infernal: Hell's Vengeance,X360,2009.0,Shooter,Playlogic Game Factory,0.06,0.01,0.0,0.01,0.08,35.0,23.0,5.3,10.0,Metropolis Software,M
Marvel Avengers: Battle for Earth,WiiU,2012.0,Action,Ubisoft,0.06,0.04,0.0,0.01,0.12,50.0,10.0,5.0,25.0,Ubisoft Quebec,T
NBA 2K8,PS3,2007.0,Sports,Take-Two Interactive,0.5,0.01,0.0,0.05,0.55,81.0,18.0,6.8,19.0,Visual Concepts,E
EyePet,PS3,2009.0,Simulation,Sony Computer Entertainment,0.35,0.52,0.04,0.08,0.99,70.0,35.0,8.2,20.0,SCEE London Studio,E
Tony Hawk's Proving Ground,X360,2007.0,Sports,Activision,0.49,0.02,0.0,0.04,0.56,72.0,59.0,5.4,44.0,Neversoft Entertainment,T
Star Wars: Battlefront,PC,2004.0,Shooter,LucasArts,0.07,0.13,0.0,0.02,0.21,72.0,19.0,3.5,1509.0,EA DICE,T
NHL 09,PC,2008.0,Sports,Electronic Arts,0.0,0.02,0.0,0.0,0.02,62.0,6.0,4.1,30.0,EA Canada,E10+
Summon Night: Twin Age,DS,2007.0,Role-Playing,Banpresto,0.07,0.0,0.05,0.01,0.13,73.0,21.0,7.2,11.0,Flight-Plan,E10+
Sid Meier's Civilization: Beyond Earth,PC,2014.0,Strategy,Take-Two Interactive,0.11,0.22,0.0,0.03,0.36,81.0,78.0,5.5,1027.0,Firaxis Games,E10+
Rogue Trooper: Quartz Zone Massacre,Wii,2009.0,Shooter,Reef Entertainment,0.06,0.0,0.0,0.01,0.07,70.0,14.0,8.2,5.0,Rebellion,T
Legends of Wrestling II,PS2,2002.0,Fighting,Acclaim Entertainment,0.16,0.13,0.0,0.04,0.33,59.0,15.0,6.7,6.0,Acclaim,T
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,Nintendo,E
Tomb Raider: Underworld,DS,2008.0,Action,Eidos Interactive,0.15,0.02,0.0,0.01,0.19,70.0,9.0,8.4,10.0,Santa Cruz Games,T
FIFA World Cup Germany 2006,GC,2006.0,Sports,Electronic Arts,0.1,0.03,0.0,0.0,0.13,76.0,17.0,6.2,5.0,EA Canada,E
de Blob 2,PS3,2011.0,Platform,THQ,0.11,0.07,0.0,0.03,0.21,74.0,50.0,7.1,34.0,Blue Tongue Entertainment,E10+
Monster Racers,DS,2009.0,Racing,Tecmo Koei,0.05,0.0,0.02,0.0,0.07,70.0,5.0,9.0,5.0,Koei,E
Digimon Rumble Arena,PS,2001.0,Fighting,Namco Bandai Games,0.01,0.01,0.0,0.0,0.02,64.0,5.0,8.8,71.0,Bandai,E
Fantastic Pets,X360,2011.0,Simulation,THQ,0.3,0.08,0.0,0.03,0.41,66.0,11.0,7.5,4.0,Blitz Games Studios,E
Call of Juarez: Bound in Blood,X360,2009.0,Shooter,Ubisoft,0.3,0.24,0.0,0.06,0.6,77.0,77.0,7.6,94.0,Techland,M
Mind Zero,PSV,2013.0,Role-Playing,GungHo,0.05,0.0,0.04,0.02,0.1,59.0,13.0,6.0,72.0,Zerodiv,T
Looney Tunes: Acme Arsenal,X360,2007.0,Action,Warner Bros. Interactive Entertainment,0.06,0.01,0.0,0.01,0.08,40.0,15.0,6.8,13.0,Red Tribe,E10+
Castlevania: Lords of Shadow,PS3,2010.0,Action,Konami Digital Entertainment,0.5,0.35,0.1,0.15,1.1,85.0,62.0,8.0,468.0,Mercury Steam,M
Dark Void,X360,2010.0,Action,Capcom,0.19,0.09,0.0,0.03,0.31,59.0,69.0,6.0,61.0,Airtight Games,T
Overwatch,PS4,2016.0,Shooter,Activision,0.81,0.85,0.15,0.33,2.14,90.0,31.0,6.1,1358.0,Blizzard Entertainment,T
HBO Boxing,PS,2000.0,Fighting,Acclaim Entertainment,0.12,0.08,0.0,0.01,0.21,26.0,7.0,4.0,5.0,Osiris Studios,E
FIFA Soccer 10,PSP,2009.0,Sports,Electronic Arts,0.15,0.67,0.01,0.31,1.15,83.0,9.0,7.9,14.0,EA Sports,E
Need for Speed Underground 2,XB,2004.0,Racing,Electronic Arts,1.38,0.8,0.0,0.1,2.28,77.0,35.0,8.7,27.0,EA Canada,E
NBA Street V3,GC,2005.0,Sports,Electronic Arts,0.23,0.06,0.0,0.01,0.29,88.0,36.0,8.4,16.0,EA Canada,E
Mini Ninjas,Wii,2009.0,Action,Eidos Interactive,0.16,0.16,0.0,0.04,0.37,79.0,9.0,8.3,12.0,Io Interactive,E10+
Samurai Jack: The Shadow of Aku,PS2,2004.0,Action,Sega,0.03,0.02,0.0,0.01,0.06,59.0,21.0,8.4,10.0,Adrenium,T
WWE SmackDown vs. Raw 2009,PSP,2008.0,Fighting,THQ,0.41,0.2,0.0,0.14,0.75,72.0,9.0,6.0,9.0,Yuke's,T
Spider-Man: The Movie,GC,2002.0,Action,Activision,0.86,0.27,0.01,0.04,1.19,76.0,14.0,7.3,11.0,Treyarch,E
Call of Duty: Modern Warfare 2,PC,2009.0,Shooter,Activision,0.01,0.79,0.0,0.09,0.88,86.0,40.0,4.2,6430.0,Infinity Ward,M
Worms 3D,XB,2003.0,Strategy,Sega,0.04,0.01,0.0,0.0,0.06,69.0,20.0,8.4,10.0,Team 17,T
