Date,value
1977/8/22,102.375
1977/8/23,102.781
1977/8/24,102.656
1977/8/25,103.094
1977/8/26,103.062
1977/8/29,103.156
1977/8/30,103.062
1977/8/31,103.125
1977/9/1,103.062
1977/9/2,103.469
1977/9/6,103.438
1977/9/7,103.25
1977/9/8,103.312
1977/9/9,102.688
1977/9/12,102.75
1977/9/13,103.062
1977/9/14,103.031
1977/9/15,103.188
1977/9/16,103.25
1977/9/19,103.25
1977/9/20,103.094
1977/9/21,103.219
1977/9/22,102.844
1977/9/23,102.969
1977/9/26,102.781
1977/9/27,103.062
1977/9/28,103
1977/9/29,103
1977/9/30,102.969
1977/10/3,102.688
1977/10/4,102.781
1977/10/5,102.781
1977/10/6,102.625
1977/10/7,102.375
1977/10/10,102.25
1977/10/11,101.906
1977/10/12,101.625
1977/10/13,101.625
1977/10/14,101.875
1977/10/17,101.719
1977/10/18,101.656
1977/10/19,101.844
1977/10/20,101.969
1977/10/21,101.812
1977/10/24,101.844
1977/10/25,101.594
1977/10/26,101.625
1977/10/27,101.656
1977/10/28,101.625
1977/10/31,101.125
1977/11/1,100.812
1977/11/2,100.75
1977/11/3,100.75
1977/11/4,101.031
1977/11/7,101.312
1977/11/8,101.5
1977/11/9,101.469
1977/11/10,101.5
1977/11/11,102
1977/11/14,101.75
1977/11/15,101.656
1977/11/16,101.812
1977/11/17,101.75
1977/11/18,101.938
1977/11/21,101.75
1977/11/22,101.906
1977/11/23,102
1977/11/25,101.8628
1977/11/28,101.8004
1977/11/29,101.6562
1977/11/30,101.4128
1977/12/1,101.312
1977/12/2,101.188
1977/12/5,101.031
1977/12/6,100.75
1977/12/7,100.656
1977/12/8,100.875
1977/12/9,100.844
1977/12/12,100.688
1977/12/13,100.594
1977/12/14,100.438
1977/12/15,100.312
1977/12/16,100.281
1977/12/19,99.8125
1977/12/20,99.4375
1977/12/21,99.5625
1977/12/22,99.4062
1977/12/23,99.4062
1977/12/27,99.2188
1977/12/28,99.0938
1977/12/29,98.7812
1977/12/30,99.5312
1978/1/3,98.875
1978/1/4,98.9688
1978/1/5,98.7812
1978/1/6,98.3125
1978/1/9,97.5625
1978/1/10,97.5312
1978/1/11,97.0312
1978/1/12,97.3125
1978/1/13,97.6562
1978/1/16,97.2188
1978/1/17,97.375
1978/1/18,97.375
1978/1/19,97.4688
1978/1/20,97.4688
1978/1/23,97.5
1978/1/24,97.2188
1978/1/25,97.0938
1978/1/26,97.375
1978/1/27,97.4375
1978/1/30,97.5
1978/1/31,97.7188
1978/2/1,97.3438
1978/2/2,97.4688
1978/2/3,97.2812
1978/2/6,96.9688
1978/2/7,97.2188
1978/2/8,97.125
1978/2/9,97.25
1978/2/10,97.0625
1978/2/13,96.9688
1978/2/14,96.875
1978/2/15,96.6562
1978/2/16,96.3125
1978/2/17,96.7188
1978/2/21,96.4688
1978/2/22,96.6562
1978/2/23,96.7
1978/2/24,97.0562
1978/2/27,96.9188
1978/2/28,96.5625
1978/3/1,96.3438
1978/3/2,96.5938
1978/3/3,96.5625
1978/3/6,96.625
1978/3/7,96.75
1978/3/8,96.8438
1978/3/9,96.875
1978/3/10,97.0625
1978/3/13,97.2188
1978/3/14,97.0938
1978/3/15,97.1562
1978/3/16,97.1562
1978/3/17,97.2188
1978/3/20,97.5625
1978/3/21,97.4688
1978/3/22,97.0312
1978/3/23,96.75
1978/3/27,96.375
1978/3/28,96.3125
1978/3/29,96.4375
1978/3/30,96.25
1978/3/31,95.9375
1978/4/3,95.9688
1978/4/4,96.2188
1978/4/5,95.875
1978/4/6,95.9062
1978/4/7,96
1978/4/10,95.9062
1978/4/11,95.7188
1978/4/12,95.6875
1978/4/13,95.8438
1978/4/14,96.3125
1978/4/17,96.4688
1978/4/18,96.5
1978/4/19,96.2188
1978/4/20,96.0938
1978/4/21,95.8438
1978/4/24,95.625
1978/4/25,95.75
1978/4/26,95.4375
1978/4/27,95.4062
1978/4/28,95.4688
1978/5/1,95.5
1978/5/2,95.5625
1978/5/3,95.4062
1978/5/4,95.7188
1978/5/5,95.125
1978/5/8,95
1978/5/9,95.1875
1978/5/10,95.1562
1978/5/11,95.1875
1978/5/12,95.1562
1978/5/15,95.3438
1978/5/16,95.375
1978/5/17,95.5938
1978/5/18,95
1978/5/19,94.8438
1978/5/22,94.9375
1978/5/23,95.0625
1978/5/24,94.8125
1978/5/25,94.475
1978/5/26,94.2625
1978/5/30,94
1978/5/31,93.8062
1978/6/1,93.8438
1978/6/2,94.2188
1978/6/5,94.3125
1978/6/6,94.4688
1978/6/7,94.625
1978/6/8,94.4375
1978/6/9,94.3438
1978/6/12,94.25
1978/6/13,94.25
1978/6/14,94.5312
1978/6/15,94.4688
1978/6/16,94.2188
1978/6/19,94.0938
1978/6/20,93.8125
1978/6/21,93.5
1978/6/22,93.625
1978/6/23,93.3125
1978/6/26,93.0938
1978/6/27,93.2812
1978/6/28,93.4062
1978/6/29,93.2812
1978/6/30,93
1978/7/3,93.0938
1978/7/5,92.875
1978/7/6,93
1978/7/7,92.5625
1978/7/10,92.1875
1978/7/11,92.3438
1978/7/12,92.1562
1978/7/13,92.1562
1978/7/14,92.375
1978/7/17,92.7188
1978/7/18,92.75
1978/7/19,92.9062
1978/7/20,92.5625
1978/7/21,92.5312
1978/7/24,92.4062
1978/7/25,92.5625
1978/7/26,92.7812
1978/7/27,93.3125
1978/7/28,93.75
1978/7/31,93.5625
1978/8/1,93.75
1978/8/2,94.5
1978/8/3,95.25
1978/8/4,95.3125
1978/8/7,95.5625
1978/8/8,95.7812
1978/8/9,95.7812
1978/8/10,95.0312
1978/8/11,95
1978/8/14,94.5
1978/8/15,94.625
1978/8/16,93.875
1978/8/17,94.3125
1978/8/18,94.5938
1978/8/21,95.0625
1978/8/22,94.875
1978/8/23,95.625
1978/8/24,95.4062
1978/8/25,95.7812
1978/8/28,95.4625
1978/8/29,95.3
1978/8/30,95.0125
1978/8/31,95.2875
1978/9/1,95.1562
1978/9/5,95.7188
1978/9/6,95.7188
1978/9/7,95.625
1978/9/8,95.7812
1978/9/11,96.0625
1978/9/12,96.125
1978/9/13,95.9062
1978/9/14,95.8438
1978/9/15,95.6875
1978/9/18,95.3125
1978/9/19,95.0312
1978/9/20,94.375
1978/9/21,94.1875
1978/9/22,93.6875
1978/9/25,93.5938
1978/9/26,93.9375
1978/9/27,93.5
1978/9/28,93.5938
1978/9/29,93.3125
1978/10/2,93.0625
1978/10/3,93.3438
1978/10/4,93.0625
1978/10/5,93.0938
1978/10/6,93.5312
1978/10/9,93.5625
1978/10/10,93.6875
1978/10/11,93.625
1978/10/12,93.7812
1978/10/13,93.5312
1978/10/16,93.0938
1978/10/17,93.0625
1978/10/18,92.6875
1978/10/19,92.5312
1978/10/20,92.3438
1978/10/23,92.8125
1978/10/24,92.75
1978/10/25,92.5938
1978/10/26,92.0938
1978/10/27,91.75
1978/10/30,91.2812
1978/10/31,91.1562
1978/11/1,91.9062
1978/11/2,92.6562
1978/11/3,91.9688
1978/11/6,92.125
1978/11/8,92.0312
1978/11/9,91.9062
1978/11/10,92.3125
1978/11/13,92.4688
1978/11/14,92.8438
1978/11/15,93.3125
1978/11/16,93.1562
1978/11/17,93.25
1978/11/20,93.2188
1978/11/21,92.75
1978/11/22,92.9688
1978/11/24,92.2188
1978/11/27,92.2125
1978/11/28,92.2062
1978/11/29,92.2813
1978/11/30,92.5563
1978/12/1,93
1978/12/4,92.5
1978/12/5,92.375
1978/12/6,92.4688
1978/12/7,92.2188
1978/12/8,92.1875
1978/12/11,92.1875
1978/12/12,92
1978/12/13,91.375
1978/12/14,91.5312
1978/12/15,91.1875
1978/12/18,90.4375
1978/12/19,90.4375
1978/12/20,90.3125
1978/12/21,90.4688
1978/12/22,90.9062
1978/12/26,90.7188
1978/12/27,90.6875
1978/12/28,90.1875
1978/12/29,90.3438
1979/1/2,90
1979/1/3,90.4375
1979/1/4,90.6875
1979/1/5,90.375
1979/1/8,90.0312
1979/1/9,89.8438
1979/1/10,89.9062
1979/1/11,90.25
1979/1/12,90.4062
1979/1/15,90.3125
1979/1/16,90.125
1979/1/17,90.1562
1979/1/18,90.125
1979/1/19,90.4688
1979/1/22,90.7188
1979/1/23,90.5938
1979/1/24,91.125
1979/1/25,91.6875
1979/1/26,91.8438
1979/1/29,91.3125
1979/1/30,91.5625
1979/1/31,91.5
1979/2/1,91.7188
1979/2/2,91.6875
1979/2/5,91.1875
1979/2/6,90.7812
1979/2/7,90.25
1979/2/8,90.3125
1979/2/9,90.0938
1979/2/12,89.8125
1979/2/13,90.2812
1979/2/14,90.1562
1979/2/15,90.25
1979/2/16,90.3125
1979/2/20,89.9375
1979/2/21,89.5625
1979/2/22,89.5
1979/2/23,89.35
1979/2/26,89.525
1979/2/27,89.8187
1979/2/28,89.6187
1979/3/1,89.625
1979/3/2,89.75
1979/3/5,90.4375
1979/3/6,90.125
1979/3/7,90.3125
1979/3/8,90.4375
1979/3/9,90.0312
1979/3/12,90.3125
1979/3/13,90.2188
1979/3/14,89.875
1979/3/15,90
1979/3/16,90.1562
1979/3/19,90.1875
1979/3/20,90.1562
1979/3/21,90.0625
1979/3/22,90.1875
1979/3/23,90.3125
1979/3/26,90.1875
1979/3/27,90.375
1979/3/28,90.6875
1979/3/29,90.5
1979/3/30,90.1562
1979/4/2,90.2188
1979/4/3,90.4062
1979/4/4,90.4375
1979/4/5,90.4375
1979/4/6,90.1875
1979/4/9,89.9688
1979/4/10,89.5625
1979/4/11,89.4688
1979/4/12,89.375
1979/4/16,89.4688
1979/4/17,89.75
1979/4/18,89.7188
1979/4/19,89.7188
1979/4/20,89.1875
1979/4/23,88.8125
1979/4/24,88.8438
1979/4/25,89
1979/4/26,88.5938
1979/4/27,88.6875
1979/4/30,88.1875
1979/5/1,88.3438
1979/5/2,88.3438
1979/5/3,87.7812
1979/5/4,87.7812
1979/5/7,87.8125
1979/5/8,87.9062
1979/5/9,88.1875
1979/5/10,87.9688
1979/5/11,88.3438
1979/5/14,88.375
1979/5/15,88.1562
1979/5/16,88.5312
1979/5/17,88.8438
1979/5/18,88.8125
1979/5/21,88.5
1979/5/22,89.25
1979/5/23,89.5938
1979/5/24,89.8125
1979/5/25,90.2438
1979/5/29,90.3125
1979/5/30,90.1125
1979/5/31,89.8125
1979/6/1,89.9688
1979/6/4,89.875
1979/6/5,90.1562
1979/6/6,90.9375
1979/6/7,91.4062
1979/6/8,91.1562
1979/6/11,90.9062
1979/6/12,91.9062
1979/6/13,91.8125
1979/6/14,91.5625
1979/6/15,90.9375
1979/6/18,91.125
1979/6/19,90.9375
1979/6/20,91.0625
1979/6/21,91.0312
1979/6/22,90.8438
1979/6/25,91.2812
1979/6/26,91.9688
1979/6/27,92.0312
1979/6/28,92.0625
1979/6/29,91.8438
1979/7/2,92.2812
1979/7/3,92.0625
1979/7/5,91.875
1979/7/6,92.0312
1979/7/9,91.625
1979/7/10,91.1875
1979/7/11,90.8438
1979/7/12,91.0312
1979/7/13,91.0938
1979/7/16,90.5
1979/7/17,90.3438
1979/7/18,90.0625
1979/7/19,90.125
1979/7/20,90.6875
1979/7/23,90.2188
1979/7/24,89.8438
1979/7/25,90.375
1979/7/26,90.6562
1979/7/27,90.1562
1979/7/30,90.4062
1979/7/31,90.5312
1979/8/1,90.7188
1979/8/2,91.1875
1979/8/3,91
1979/8/6,91.25
1979/8/7,91.375
1979/8/8,91.1875
1979/8/9,90.75
1979/8/10,90.7188
