Date,US dollar,Euro,Pound sterling,Japanese yen
1969/12/31,35.2,22.24,14.66,12592.44
1970/1/30,34.99,23.2,14.54,12496.35
1970/2/27,35.02,23.26,14.55,12529.95
1970/3/31,35.3,23.42,14.67,12627.65
1970/4/30,35.85,23.79,14.93,12858.36
1970/5/29,35.45,23.54,14.8,12757.88
1970/6/30,35.49,23.55,14.85,12764.72
1970/7/31,35.3,23.45,14.81,12728.16
1970/8/31,35.8,23.58,14.99,12799.92
1970/9/30,36.4,23.98,15.23,13018.66
1970/10/30,37.25,24.58,15.6,13341.25
1970/11/30,37.54,24.71,15.69,13403.93
1970/12/31,37.38,24.41,15.46,13239.03
1971/1/29,38.05,25.09,15.75,13613.21
1971/2/26,38.8,25.58,16.06,13867.1
1971/3/31,38.88,25.61,16.08,13892.95
1971/4/30,39.7,26.14,16.41,14188.38
1971/5/31,40.84,26.9,16.89,14594.98
1971/6/30,40.1,26.39,16.57,14328.74
1971/7/30,42.4,27.92,17.53,15153.74
1971/8/31,40.65,26.1,16.53,13538.98
1971/9/30,42.6,27.39,17.15,14059.41
1971/10/29,42.34,27.22,17,13957.5
1971/11/30,43.6,27.93,17.48,14250.08
1971/12/31,43.55,27.06,17.06,13691.48
1972/1/31,47.15,28.99,18.18,14624.17
1972/2/29,48.2,29.51,18.49,14619.8
1972/3/31,48.38,29.36,18.5,14695.64
1972/4/28,49.6,30.17,19,15092.19
1972/5/31,59.45,36.01,22.75,18096.15
1972/6/30,64.65,39.03,26.45,19085.52
1972/7/31,68.3,41.31,27.88,20559.69
1972/8/31,66.88,40.23,27.32,20090.92
1972/9/29,64.2,38.78,26.53,19326.34
1972/10/31,64.39,39.27,27.55,19410.68
1972/11/30,63.6,38.71,27.04,19127.31
1972/12/29,64.9,39.55,27.66,19568.2
1973/1/31,66,40.81,27.73,19897.07
1973/2/28,85,48.14,34.25,22585.63
1973/3/30,90,51.83,36.3,23834.22
1973/4/30,90.72,52.61,36.45,24145.47
1973/5/31,114.75,65.04,44.73,30392.78
1973/6/29,123.25,67.54,47.76,32263.28
1973/7/31,115.6,63.58,46.23,30535.41
1973/8/31,103.5,57.35,42.09,27419.59
1973/9/28,100,54.93,41.43,26534.94
1973/10/31,98,54.3,40.18,26098.24
1973/11/30,101,58.89,43.07,28232.64
1973/12/31,112.25,65.95,48.32,31384.58
1974/1/31,132.5,82.65,58.06,39453.89
1974/2/28,162.5,100.08,70.54,46802.46
1974/3/29,173,100.68,72.23,47602.1
1974/4/30,169.25,97.53,69.56,47234.18
1974/5/31,156.75,92.29,65.41,44183.03
1974/6/28,144.25,85.08,60.44,41041.61
1974/7/31,156,91.61,65.55,46668.94
1974/8/30,156,93.61,67.31,47254.41
1974/9/30,151.25,90.4,64.84,45131.84
1974/10/31,167,99.31,71.54,50150.83
1974/11/29,184,107.71,79.11,55215.86
1974/12/31,186.5,106.18,79.36,56029.4
1975/1/31,175.8,98.8,73.88,52492.53
1975/2/28,181.75,99.58,74.81,52067.51
1975/3/31,177.25,98.85,73.84,51834.86
1975/4/30,167,92.69,70.91,48788.12
1975/5/30,167,91.82,72.26,48777.59
1975/6/30,166.25,92.63,76.49,49565.26
1975/7/31,166.7,98.41,77.62,49794.25
1975/8/29,159.8,94.56,75.72,47625.81
1975/9/30,141.25,85.78,69.15,42800.94
1975/10/31,142.9,84.59,68.78,43162.37
1975/11/28,138.15,83.49,68.48,41975.69
1975/12/31,140.25,84.68,69.32,42788.35
1976/1/30,128.15,80.12,63.13,38950.05
1976/2/27,132.3,84.37,65.32,40006.82
1976/3/31,129.6,85.94,67.61,38873.24
1976/4/30,128.4,87.07,69.76,38474.65
1976/5/31,125.5,84.52,71.37,37717.84
1976/6/30,123.8,83.13,69.36,36897.27
1976/7/30,112.5,75.95,63.01,33015.97
1976/8/31,104,70.12,58.51,30015.22
1976/9/30,116,78.1,69.84,33347.41
1976/10/29,123.15,83.06,77.65,36300.55
1976/11/30,130.25,87.92,78.82,38700.65
1976/12/31,134.5,90.21,79.04,39440.3
1977/1/31,132.3,89.95,77.14,38185.75
1977/2/28,142.75,97.08,83.29,40377.01
1977/3/31,148.9,102.08,86.57,41380.39
1977/4/29,147.25,100.64,85.64,40936.12
1977/5/31,142.95,97.73,83.16,39666.76
1977/6/30,143,97.61,83.14,38285.79
1977/7/29,144.1,100.32,82.96,38493.04
1977/8/31,146,102.04,83.77,39036.11
1977/9/30,154.05,107.8,88.15,40680.98
1977/10/31,161.5,111.51,87.75,40276.31
1977/11/30,160.05,110.18,88.08,39109.66
1977/12/30,164.95,110.08,86.05,39538.1
1978/1/31,175.75,117.4,90.13,42495.47
1978/2/28,182.25,119.82,93.87,43462.15
1978/3/31,181.6,118.79,97.32,40096.07
1978/4/28,170.85,113.18,93.39,38241.67
1978/5/31,184.15,122.76,100.46,40838.54
1978/6/30,183.05,120.43,98.41,37298.9
1978/7/31,200.25,129.16,103.68,37789.89
1978/8/31,208.7,132.48,107.38,39731.94
1978/9/29,217.1,135.68,109.84,41080.4
1978/10/31,242.6,141.49,116.92,43492.65
1978/11/30,193.4,122.4,99.46,38590.52
1978/12/29,226,137.06,110.7,43893.74
1979/1/31,233.7,144.84,117.44,47327.21
1979/2/28,251.3,154.64,124.19,50918.25
1979/3/30,240.1,148.04,116.22,50379.21
1979/4/30,245.3,152.76,118.82,54567.22
1979/5/31,274.6,172,132.69,60506.23
1979/6/29,277.5,169.03,127.29,60400.85
1979/7/31,296.45,179.68,131.87,64222.08
1979/8/31,315.1,190.38,139.89,69384.93
1979/9/28,397.25,233.23,180.36,89144.59
1979/10/31,382,231.45,184.01,90807.88
1979/11/30,415.65,244.87,188.97,103747.21
1979/12/31,512,299.12,230.63,122753.24
1980/1/31,653,385.01,288.11,156299.39
1980/2/29,637,381.48,280.25,160301.01
1980/3/31,494.5,321.56,228.51,123625.03
1980/4/30,518,317.27,229.36,123852.21
1980/5/30,535.5,323.09,228.36,119317.25
1980/6/30,653.5,392.72,277.32,143581.44
1980/7/31,614.25,372.37,262.16,139733.44
1980/8/29,631.25,386.52,263.41,138287.63
1980/9/30,666.75,412.83,279.27,140611.01
1980/10/31,629,404.91,258.16,132821.9
1980/11/28,619.75,406.73,262.83,134174.05
1980/12/31,589.75,392.41,246.65,119873.91
1981/1/30,506.5,363.31,213.98,104745.2
1981/2/27,489,357.95,221.77,102568.08
1981/3/31,513.75,375.1,228.89,108495.29
1981/4/30,482.75,369.74,225.53,104139.22
1981/5/29,479.25,386.14,231.52,107310.34
1981/6/30,426,353.4,220.67,96652.77
1981/7/31,406,346.87,220.47,97559.14
1981/8/31,425,362.53,229.85,97458.09
1981/9/30,428.75,349.87,237.53,99645.86
1981/10/30,427,347.03,229.57,99518.62
1981/11/30,414.5,332.94,212.02,88783.57
1981/12/31,397.5,327.48,208.22,87350.12
1982/1/29,387,327.92,205.74,88366.05
1982/2/26,362.6,308.91,199.07,85797.72
1982/3/31,320,285.71,179.57,79371.51
1982/4/30,361.25,318.81,201.37,85177.74
1982/5/31,325.25,284.76,181.65,79200.8
1982/6/30,317.5,301.04,182.1,80809.09
1982/7/30,342.9,315.16,197.3,88289.82
1982/8/31,411.5,388.34,239.66,107608.45
1982/9/30,397,383.37,234.29,106483.75
1982/10/29,423.25,416.77,252.39,117233.06
1982/11/30,436,423.24,268.56,109033.58
1982/12/31,456.9,429.9,282.47,107339.81
1983/1/31,499.5,486.07,328.62,119945.76
1983/2/28,408.5,394.41,269.64,97069.41
1983/3/31,414.75,410.93,279.58,99109.49
