"name","pop","location"
"Sao Paulo","10021295","https://www.google.com/maps/?q=-23.5475,-46.6361"
"Rio de Janeiro","6023699","https://www.google.com/maps/?q=-22.9064,-43.1822"
"Salvador","2711840","https://www.google.com/maps/?q=-12.9711,-38.5108"
"Fortaleza","2400000","https://www.google.com/maps/?q=-3.71722,-38.5431"
"Belo Horizonte","2373224","https://www.google.com/maps/?q=-19.9208,-43.9378"
"Brasilia","2207718","https://www.google.com/maps/?q=-15.7797,-47.9297"
"Curitiba","1718421","https://www.google.com/maps/?q=-25.4278,-49.2731"
"Manaus","1598210","https://www.google.com/maps/?q=-3.10194,-60.025"
"Recife","1478098","https://www.google.com/maps/?q=-8.05389,-34.8811"
"Belem","1407737","https://www.google.com/maps/?q=-1.45583,-48.5044"
"Porto Alegre","1372741","https://www.google.com/maps/?q=-30.0328,-51.2302"
"Goiania","1171195","https://www.google.com/maps/?q=-16.6786,-49.2539"
"Guarulhos","1169577","https://www.google.com/maps/?q=-23.4628,-46.5333"
"Campinas","1031554","https://www.google.com/maps/?q=-22.9056,-47.0608"
"Nova Iguacu","1002118","https://www.google.com/maps/?q=-22.7592,-43.4511"
"Maceio","954991","https://www.google.com/maps/?q=-9.66583,-35.7353"
"Sao Luis","917237","https://www.google.com/maps/?q=-2.52972,-44.3028"
"Duque de Caxias","818329","https://www.google.com/maps/?q=-22.7856,-43.3117"
"Natal","763043","https://www.google.com/maps/?q=-5.795,-35.2094"
"Teresina","744512","https://www.google.com/maps/?q=-5.08917,-42.8019"
"Sao Bernardo do Campo","743372","https://www.google.com/maps/?q=-23.6939,-46.565"
"Campo Grande","729151","https://www.google.com/maps/?q=-20.4428,-54.6464"
"Jaboatao","702621","https://www.google.com/maps/?q=-8.18028,-35.0014"
"Osasco","677856","https://www.google.com/maps/?q=-23.5325,-46.7917"
"Santo Andre","662373","https://www.google.com/maps/?q=-23.6639,-46.5383"
"Joao Pessoa","650883","https://www.google.com/maps/?q=-7.115,-34.8631"
"Jaboatao dos Guararapes","630008","https://www.google.com/maps/?q=-8.11278,-35.0147"
"Contagem","627123","https://www.google.com/maps/?q=-19.9317,-44.0536"
"Ribeirao Preto","619746","https://www.google.com/maps/?q=-21.1775,-47.8103"
"Sao Jose dos Campos","613764","https://www.google.com/maps/?q=-23.1794,-45.8869"
"Uberlandia","563536","https://www.google.com/maps/?q=-18.9186,-48.2772"
"Sorocaba","558862","https://www.google.com/maps/?q=-23.5017,-47.4581"
"Cuiaba","521934","https://www.google.com/maps/?q=-15.5961,-56.0967"
"Aparecida de Goiania","510770","https://www.google.com/maps/?q=-16.8233,-49.2439"
"Aracaju","490175","https://www.google.com/maps/?q=-10.9111,-37.0717"
"Feira de Santana","481911","https://www.google.com/maps/?q=-12.2667,-38.9667"
"Londrina","471832","https://www.google.com/maps/?q=-23.3103,-51.1628"
"Juiz de Fora","470193","https://www.google.com/maps/?q=-21.7642,-43.3503"
"Belford Roxo","466096","https://www.google.com/maps/?q=-22.7642,-43.3994"
"Joinville","461304","https://www.google.com/maps/?q=-26.3044,-48.8456"
"Niteroi","456456","https://www.google.com/maps/?q=-22.8833,-43.1036"
"Sao Joao de Meriti","454849","https://www.google.com/maps/?q=-22.8039,-43.3722"
"Ananindeua","433956","https://www.google.com/maps/?q=-1.36556,-48.3722"
"Florianopolis","412724","https://www.google.com/maps/?q=-27.5967,-48.5492"
"Santos","411403","https://www.google.com/maps/?q=-23.9608,-46.3336"
"Ribeirao das Neves","406802","https://www.google.com/maps/?q=-19.7669,-44.0867"
"Vila Velha","394930","https://www.google.com/maps/?q=-20.3297,-40.2925"
"Serra","394153","https://www.google.com/maps/?q=-20.1286,-40.3078"
"Diadema","390633","https://www.google.com/maps/?q=-23.6861,-46.6228"
"Campos dos Goytacazes","387417","https://www.google.com/maps/?q=-21.7523,-41.3304"
"Maua","386069","https://www.google.com/maps/?q=-23.6678,-46.4614"
"Betim","384000","https://www.google.com/maps/?q=-19.9678,-44.1983"
"Caxias do Sul","381270","https://www.google.com/maps/?q=-29.1681,-51.1794"
"Sao Jose do Rio Preto","374699","https://www.google.com/maps/?q=-20.8197,-49.3794"
"Olinda","366754","https://www.google.com/maps/?q=-8.00889,-34.8553"
"Carapicuiba","361112","https://www.google.com/maps/?q=-23.5227,-46.835"
"Campina Grande","348936","https://www.google.com/maps/?q=-7.23056,-35.8811"
"Piracicaba","342209","https://www.google.com/maps/?q=-22.7253,-47.6492"
"Macapa","338936","https://www.google.com/maps/?q=0.03889,-51.0664"
"Itaquaquecetuba","336679","https://www.google.com/maps/?q=-23.4861,-46.3483"
"Bauru","335024","https://www.google.com/maps/?q=-22.3147,-49.0606"
"Montes Claros","332379","https://www.google.com/maps/?q=-16.735,-43.8617"
"Canoas","328291","https://www.google.com/maps/?q=-29.9178,-51.1836"
"Mogi das Cruzes","325746","https://www.google.com/maps/?q=-23.5228,-46.1883"
"Sao Vicente","324457","https://www.google.com/maps/?q=-23.9631,-46.3919"
"Jundiai","321589","https://www.google.com/maps/?q=-23.1864,-46.8842"
"Pelotas","320674","https://www.google.com/maps/?q=-31.77,-52.341"
"Anapolis","319587","https://www.google.com/maps/?q=-16.3267,-48.9528"
"Vitoria","312656","https://www.google.com/maps/?q=-20.3194,-40.3378"
"Maringa","311724","https://www.google.com/maps/?q=-23.4253,-51.9386"
"Guaruja","310424","https://www.google.com/maps/?q=-23.9931,-46.2564"
"Porto Velho","306180","https://www.google.com/maps/?q=-8.76194,-63.9039"
"Franca","305041","https://www.google.com/maps/?q=-20.5386,-47.4008"
"Blumenau","293949","https://www.google.com/maps/?q=-26.9194,-49.0661"
"Foz do Iguacu","293523","https://www.google.com/maps/?q=-25.5478,-54.5881"
"Ponta Grossa","292177","https://www.google.com/maps/?q=-25.095,-50.1619"
"Paulista","289971","https://www.google.com/maps/?q=-7.94083,-34.8731"
"Limeira","289665","https://www.google.com/maps/?q=-22.5647,-47.4017"
"Viamao","285269","https://www.google.com/maps/?q=-30.0811,-51.0233"
"Suzano","283314","https://www.google.com/maps/?q=-23.5425,-46.3108"
"Caucaia","275019","https://www.google.com/maps/?q=-3.73611,-38.6531"
"Petropolis","272691","https://www.google.com/maps/?q=-22.505,-43.1786"
"Uberaba","260843","https://www.google.com/maps/?q=-19.7483,-47.9319"
"Rio Branco","257642","https://www.google.com/maps/?q=-9.97472,-67.81"
"Cascavel","257172","https://www.google.com/maps/?q=-24.9558,-53.4553"
"Novo Hamburgo","253841","https://www.google.com/maps/?q=-29.6783,-51.1306"
"Vitoria da Conquista","253137","https://www.google.com/maps/?q=-14.8661,-40.8394"
"Barueri","251994","https://www.google.com/maps/?q=-23.5106,-46.8761"
"Taubate","251641","https://www.google.com/maps/?q=-23.0264,-45.5553"
"Governador Valadares","250878","https://www.google.com/maps/?q=-18.8511,-41.9494"
"Praia Grande","250027","https://www.google.com/maps/?q=-24.0058,-46.4028"
"Varzea Grande","249752","https://www.google.com/maps/?q=-15.6467,-56.1325"
"Volta Redonda","249580","https://www.google.com/maps/?q=-22.5231,-44.1042"
"Santa Maria","249219","https://www.google.com/maps/?q=-29.6842,-53.8069"
"Santa Luzia","243503","https://www.google.com/maps/?q=-19.7697,-43.8514"
"Gravatai","238778","https://www.google.com/maps/?q=-29.9422,-50.9928"
"Caruaru","235371","https://www.google.com/maps/?q=-8.28333,-35.9761"
"Boa Vista","235150","https://www.google.com/maps/?q=2.81972,-60.6733"
"Ipatinga","228746","https://www.google.com/maps/?q=-19.4683,-42.5367"
"Sumare","227977","https://www.google.com/maps/?q=-22.8219,-47.2669"
"Juazeiro do Norte","225230","https://www.google.com/maps/?q=-7.21306,-39.3153"
"Embu","221733","https://www.google.com/maps/?q=-23.6489,-46.8522"
"Imperatriz","218106","https://www.google.com/maps/?q=-5.52639,-47.4917"
"Colombo","217000","https://www.google.com/maps/?q=-25.2917,-49.2242"
"Taboao da Serra","214523","https://www.google.com/maps/?q=-23.6261,-46.7917"
"Jacarei","213110","https://www.google.com/maps/?q=-23.3053,-45.9658"
"Marilia","212218","https://www.google.com/maps/?q=-22.2139,-49.9458"
"Presidente Prudente","209502","https://www.google.com/maps/?q=-22.1256,-51.3889"
"Sao Leopoldo","209229","https://www.google.com/maps/?q=-29.7603,-51.1472"
"Itabuna","205660","https://www.google.com/maps/?q=-14.7856,-39.2803"
"Sao Carlos","205035","https://www.google.com/maps/?q=-22.0175,-47.8908"
"Hortolandia","203533","https://www.google.com/maps/?q=-22.8583,-47.22"
"Mossoro","202005","https://www.google.com/maps/?q=-5.1875,-37.3442"
"Itapevi","201748","https://www.google.com/maps/?q=-23.5489,-46.9342"
"Sete Lagoas","201334","https://www.google.com/maps/?q=-19.4658,-44.2467"
"Sao Jose","200000","https://www.google.com/maps/?q=-28.2117,-49.1632"
"Palmas","196272","https://www.google.com/maps/?q=-10.1674,-48.3277"
"Americana","196022","https://www.google.com/maps/?q=-22.7392,-47.3314"
"Petrolina","194650","https://www.google.com/maps/?q=-9.39861,-40.5008"
"Divinopolis","193832","https://www.google.com/maps/?q=-20.1436,-44.8907"
"Maracanau","193529","https://www.google.com/maps/?q=-3.87667,-38.6256"
"Planaltina","189412","https://www.google.com/maps/?q=-15.6179,-47.6487"
"Santarem","189047","https://www.google.com/maps/?q=-2.44306,-54.7083"
