0,1,2,3,counts
www.bloomberg.com,news,articles,2019-03-28,99
www.bloomberg.com,news,articles,2019-06-27,97
www.bloomberg.com,news,articles,2019-03-26,96
www.bloomberg.com,news,articles,2019-03-19,96
www.bloomberg.com,news,articles,2019-06-19,95
www.bloomberg.com,news,articles,2020-01-23,94
www.bloomberg.com,news,articles,2019-06-26,93
www.bloomberg.com,news,articles,2019-04-09,91
www.bloomberg.com,news,articles,2019-05-20,91
www.bloomberg.com,news,articles,2019-03-12,91
www.bloomberg.com,news,articles,2019-10-23,90
www.bloomberg.com,news,articles,2019-11-20,89
www.bloomberg.com,news,articles,2020-02-27,89
www.bloomberg.com,news,articles,2019-06-20,89
www.bloomberg.com,news,articles,2020-02-05,89
www.bloomberg.com,news,articles,2020-02-12,88
www.bloomberg.com,news,articles,2019-05-21,88
www.bloomberg.com,news,articles,2019-12-04,88
www.bloomberg.com,news,articles,2019-05-15,87
www.bloomberg.com,news,articles,2019-06-12,87
www.bloomberg.com,news,articles,2020-01-15,87
www.bloomberg.com,news,articles,2019-10-22,87
www.bloomberg.com,news,articles,2019-06-13,86
www.bloomberg.com,news,articles,2019-06-25,86
www.bloomberg.com,news,articles,2019-11-21,86
www.bloomberg.com,news,articles,2019-04-11,85
www.bloomberg.com,news,articles,2019-05-02,85
www.bloomberg.com,news,articles,2020-03-02,84
www.bloomberg.com,news,articles,2019-07-24,84
www.bloomberg.com,news,articles,2019-11-19,84
www.bloomberg.com,news,articles,2019-05-09,84
www.bloomberg.com,news,articles,2019-05-16,84
www.bloomberg.com,news,articles,2020-03-04,83
www.bloomberg.com,news,articles,2019-04-04,83
www.bloomberg.com,news,articles,2019-03-25,83
www.bloomberg.com,news,articles,2020-01-22,83
www.bloomberg.com,news,articles,2020-02-13,83
www.bloomberg.com,news,articles,2019-06-18,83
www.bloomberg.com,news,articles,2019-09-19,83
www.bloomberg.com,news,articles,2020-01-14,83
www.bloomberg.com,news,articles,2019-07-11,83
www.bloomberg.com,news,articles,2020-01-21,83
www.bloomberg.com,news,articles,2020-01-16,83
www.bloomberg.com,news,articles,2019-06-05,83
www.bloomberg.com,news,articles,2019-04-30,82
www.bloomberg.com,news,articles,2019-09-11,82
www.bloomberg.com,news,articles,2019-04-10,82
www.bloomberg.com,news,articles,2019-07-22,81
www.bloomberg.com,news,articles,2019-09-25,81
www.bloomberg.com,news,articles,2019-06-28,81
www.bloomberg.com,news,articles,2019-07-23,81
www.bloomberg.com,news,articles,2020-02-18,81
www.bloomberg.com,news,articles,2019-06-03,81
www.bloomberg.com,news,articles,2019-03-20,81
www.bloomberg.com,news,articles,2019-08-01,80
www.bloomberg.com,news,articles,2019-09-12,80
www.bloomberg.com,news,articles,2019-04-18,80
www.bloomberg.com,news,articles,2019-04-02,80
www.bloomberg.com,news,articles,2019-07-25,80
www.bloomberg.com,news,articles,2019-03-13,80
www.bloomberg.com,news,articles,2019-03-22,80
www.bloomberg.com,news,articles,2019-09-04,80
www.bloomberg.com,news,articles,2019-05-08,80
www.bloomberg.com,news,articles,2019-04-17,79
www.bloomberg.com,news,articles,2019-10-07,79
www.bloomberg.com,news,articles,2019-10-02,79
www.bloomberg.com,news,articles,2019-07-09,79
www.bloomberg.com,news,articles,2020-02-10,79
www.bloomberg.com,news,articles,2020-02-26,79
www.bloomberg.com,news,articles,2019-09-13,78
www.bloomberg.com,news,articles,2019-04-03,78
www.bloomberg.com,news,articles,2019-05-22,78
www.bloomberg.com,news,articles,2020-01-28,78
www.bloomberg.com,news,articles,2019-03-27,78
www.bloomberg.com,news,articles,2019-03-14,77
www.bloomberg.com,news,articles,2019-07-18,77
www.bloomberg.com,news,articles,2020-03-05,77
www.bloomberg.com,news,articles,2019-12-10,77
www.bloomberg.com,news,articles,2020-01-08,77
www.bloomberg.com,news,articles,2019-10-11,76
www.bloomberg.com,news,articles,2019-05-10,76
www.bloomberg.com,news,articles,2019-10-09,76
www.bloomberg.com,news,articles,2019-10-10,76
www.bloomberg.com,news,articles,2019-12-19,76
www.bloomberg.com,news,articles,2019-08-23,76
www.bloomberg.com,news,articles,2019-10-08,76
www.bloomberg.com,news,articles,2019-08-21,76
www.bloomberg.com,news,articles,2019-04-08,76
www.bloomberg.com,news,articles,2019-07-02,76
www.bloomberg.com,news,articles,2019-10-17,75
www.bloomberg.com,news,articles,2019-10-24,75
www.bloomberg.com,news,articles,2019-10-16,75
www.bloomberg.com,news,articles,2019-11-04,75
www.bloomberg.com,news,articles,2019-08-28,75
www.bloomberg.com,news,articles,2019-07-17,75
www.bloomberg.com,news,articles,2019-10-31,75
www.bloomberg.com,news,articles,2020-03-03,75
www.bloomberg.com,news,articles,2019-06-11,75
www.bloomberg.com,news,articles,2019-12-11,75
www.bloomberg.com,news,articles,2019-08-06,75
www.bloomberg.com,news,articles,2019-03-29,75
www.bloomberg.com,news,articles,2020-02-19,74
www.bloomberg.com,news,articles,2019-05-14,74
www.bloomberg.com,news,articles,2019-04-16,74
www.bloomberg.com,news,articles,2020-01-30,74
