dt,channel,username,message,toxic,severe_toxic,obscene,threat,insult,indentity_hate
2020-10-25 08:31:55,danucd,jrrod91,Maybe it?s talking about her smoothie PogChamp,0,0,0,0,0,0
2020-10-25 08:31:57,danucd,hamitcankilic,!weather mark,0,0,0,0,0,0
2020-10-25 08:31:57,danucd,saspisasbot2,"mark) Weather for Mark, DE: Clear sky with a temperature of 15.8 C (60.4 F). Wind is blowing from the South at 11.16 kph (6.93 mph) and the humidity is 55%",0,0,0,0,0,0
2020-10-25 08:31:59,danucd,hamitcankilic,@EnigmaMark ^,0,0,0,0,0,0
2020-10-25 08:32:00,danucd,enigmamark,LUL,0,0,0,0,0,0
2020-10-25 08:32:03,danucd,hamitcankilic,!weather hamit,0,0,0,0,0,0
2020-10-25 08:32:04,danucd,jrrod91,LUL,0,0,0,0,0,0
2020-10-25 08:32:12,danucd,mylimas7,LUL,0,0,0,0,0,0
2020-10-25 08:32:13,danucd,hamitcankilic,FailFish,0,0,0,0,0,0
2020-10-25 08:32:16,danucd,hamitcankilic,!weather hamit,0,0,0,0,0,0
2020-10-25 08:32:18,danucd,jrrod91,@hamitcankilic danucdUnlucko,0,0,0,0,0,0
2020-10-25 08:32:19,danucd,azeegame,!taxic,0,0,0,0,0,0
2020-10-25 08:32:20,danucd,mylimas7,wait for it,0,0,0,0,0,0
2020-10-25 08:32:22,danucd,liquidnips,PainsChamp,0,0,0,0,0,0
2020-10-25 08:32:26,danucd,hamitcankilic,cooldown FailFish,0,0,0,0,0,0
2020-10-25 08:32:27,danucd,enigmamark,2 min cooldown HamitCanKilic LUL,0,0,0,0,0,0
2020-10-25 08:32:33,danucd,enigmamark,!weather hamit,0,0,0,0,0,0
2020-10-25 08:32:37,danucd,saspisasbot2,"hamit) Weather for Hamit, TR: Clear sky with a temperature of 21 C (69.8 F). Wind is blowing from the East at 10.3 kph (6.4 mph) and the humidity is 21%",0,0,0,0,0,0
2020-10-25 08:32:43,danucd,hamitcankilic,danucdLOL danucdLOL danucdLOL,0,0,0,0,0,0
2020-10-25 08:32:43,danucd,jrrod91,PogChamp,0,0,0,0,0,0
2020-10-25 08:32:46,danucd,saspisasbot2,ACTION Danucd has a contract with TSM that requires her to run ads each hour. Subscribers will always have an ad-free experience. Thank you for understanding!,0,0,0,0,0,0
2020-10-25 08:32:51,danucd,pinicl3,danucdLOL danucdLOL danucdLOL,0,0,0,0,0,0
2020-10-25 08:32:53,danucd,mylimas7,both got colder,0,0,0,0,0,0
2020-10-25 08:32:58,danucd,feras971,too hot LUL LUL Kappa,0,0,0,0,0,0
2020-10-25 08:33:01,danucd,mylimas7,was 2 * higher,0,0,0,0,0,0
2020-10-25 08:33:02,danucd,jrrod91,!weather bacon,0,0,0,0,0,0
2020-10-25 08:33:08,danucd,iamtechkat,!weather Batman,0,0,0,0,0,0
2020-10-25 08:33:10,danucd,iamtechkat,DomPogey,0,0,0,0,0,0
2020-10-25 08:33:13,danucd,jrrod91,Cooldown danucdSad,0,0,0,0,0,0
2020-10-25 08:33:14,danucd :@HamitCanKilic look discord please,msroselyn,/,0,0,0,0,0,0
2020-10-25 08:33:14,danucd,saspisasbot2,"Batman) Weather for Batman, TR: Clear sky with a temperature of 20 C (68 F). Wind is blowing from the North at 5.4 kph (3.36 mph) and the humidity is 30%",0,0,0,0,0,0
