"Date","Samsung","Motorola","Apple","Xiaomi","LG","Asus","Unknown","Lenovo","Huawei","Alcatel","Sony","Nokia","OnePlus","Positivo","Google","Quantum","Multilaser","Blu","ZTE","Meizu","Oppo","HTC","Mobicel","LeEco","Caterpillar","Umidigi","Xolo","Tecno","Other"
2019-09,44.23,22.94,13.79,4.22,7.66,2.6,1.24,0.96,0.37,0.53,0.34,0.3,0.11,0.13,0.05,0.06,0.06,0.06,0.05,0.03,0.03,0.05,0.03,0.03,0.02,0,0.02,0.01,0.08
2019-10,46.23,23.09,11.36,5.03,7.04,2.52,1.73,0.83,0.37,0.47,0.31,0.26,0.11,0.1,0.05,0.06,0.07,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0,0.02,0.01,0.08
2019-11,44.98,23.15,12.86,5.34,6.86,2.56,1.35,0.84,0.39,0.44,0.31,0.2,0.11,0.1,0.05,0.06,0.06,0.04,0.04,0.03,0.03,0.02,0.03,0.03,0.02,0,0.02,0.01,0.08
2019-12,45.61,24.37,11.65,5.78,6.35,2.46,1.31,0.71,0.36,0.35,0.26,0.15,0.12,0.07,0.05,0.04,0.05,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0,0.01,0.01,0.07
2020-01,45.62,23.33,12.38,6.42,6.37,2.44,1.08,0.65,0.4,0.34,0.25,0.13,0.11,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0,0.06
2020-02,46.21,22.4,12.31,6.72,6.66,2.54,0.94,0.62,0.37,0.3,0.23,0.12,0.1,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.07
2020-03,45.16,21.92,13.68,7.09,6.55,2.56,0.84,0.62,0.38,0.29,0.24,0.11,0.11,0.06,0.05,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.07
2020-04,46.75,23.32,10.84,8.09,6.23,2.23,0.73,0.5,0.31,0.23,0.18,0.08,0.11,0.05,0.05,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0,0.06
2020-05,44.49,21.76,14.61,7.74,6.39,2.33,0.77,0.55,0.32,0.29,0.19,0.05,0.1,0.05,0.06,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0,0.06
2020-06,46.17,22.54,12.47,7.85,6.25,2.28,0.77,0.48,0.3,0.23,0.17,0.05,0.09,0.05,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0,0.05
2020-07,45.02,22.06,13.83,7.66,6.65,2.28,0.83,0.48,0.31,0.23,0.16,0.04,0.08,0.04,0.05,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.05
2020-08,44.37,21.92,14.5,7.69,6.59,2.3,0.88,0.47,0.37,0.22,0.16,0.05,0.08,0.04,0.06,0.02,0.02,0.02,0.02,0.03,0.03,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.06
2020-09,44.59,21.61,14.38,8.03,6.68,2.2,0.78,0.44,0.32,0.2,0.15,0.06,0.08,0.04,0.05,0.02,0.02,0.02,0.02,0.02,0.04,0.01,0.02,0.01,0.01,0.02,0.01,0.06,0.12
