"name","pop","location"
"Paris","2138551","https://www.google.com/maps/?q=48.8534,2.3488"
"Marseille","794811","https://www.google.com/maps/?q=43.297,5.38107"
"Lyon","472317","https://www.google.com/maps/?q=45.7485,4.84671"
"Toulouse","433055","https://www.google.com/maps/?q=43.6043,1.44367"
"Nice","338620","https://www.google.com/maps/?q=43.7031,7.26608"
"Nantes","277269","https://www.google.com/maps/?q=47.2173,-1.55336"
"Strasbourg","274845","https://www.google.com/maps/?q=48.5839,7.74553"
"Montpellier","248252","https://www.google.com/maps/?q=43.6109,3.87723"
"Bordeaux","231844","https://www.google.com/maps/?q=44.8404,-0.5805"
"Lille","228328","https://www.google.com/maps/?q=50.633,3.05858"
"Rennes","209375","https://www.google.com/maps/?q=48.112,-1.67429"
"Reims","196565","https://www.google.com/maps/?q=49.25,4.03333"
"Le Havre","185972","https://www.google.com/maps/?q=49.4938,0.10767"
"Cergy-Pontoise","183430","https://www.google.com/maps/?q=49.0389,2.07805"
"Saint-Etienne","176280","https://www.google.com/maps/?q=45.4339,4.39"
"Toulon","168701","https://www.google.com/maps/?q=43.1244,5.92836"
"Angers","168279","https://www.google.com/maps/?q=47.4738,-0.54774"
"Grenoble","158552","https://www.google.com/maps/?q=45.1716,5.72239"
"Dijon","149782","https://www.google.com/maps/?q=47.3167,5.01667"
"Nimes","148236","https://www.google.com/maps/?q=43.8338,4.35962"
"Aix-en-Provence","146821","https://www.google.com/maps/?q=43.5283,5.44973"
"Saint-Quentin-en-Yvelines","146598","https://www.google.com/maps/?q=48.7719,2.01891"
"Brest","144899","https://www.google.com/maps/?q=48.3903,-4.48628"
"Le Mans","144515","https://www.google.com/maps/?q=48.0004,0.20471"
"Amiens","143086","https://www.google.com/maps/?q=49.9,2.3"
"Tours","141621","https://www.google.com/maps/?q=47.3948,0.70398"
"Limoges","141176","https://www.google.com/maps/?q=45.8315,1.25781"
"Clermont-Ferrand","138681","https://www.google.com/maps/?q=45.7797,3.08628"
"Villeurbanne","131445","https://www.google.com/maps/?q=45.7667,4.88333"
"Besancon","128426","https://www.google.com/maps/?q=47.2488,6.01815"
"Orleans","124149","https://www.google.com/maps/?q=47.9029,1.90389"
"Metz","123914","https://www.google.com/maps/?q=49.1191,6.17269"
"Rouen","112787","https://www.google.com/maps/?q=49.4431,1.09932"
"Mulhouse","111430","https://www.google.com/maps/?q=47.75,7.33333"
"Perpignan","110706","https://www.google.com/maps/?q=42.6976,2.89541"
"Caen","110624","https://www.google.com/maps/?q=49.1858,-0.35912"
"Boulogne-Billancourt","108782","https://www.google.com/maps/?q=48.8333,2.25"
"Nancy","105334","https://www.google.com/maps/?q=48.6844,6.18496"
"Argenteuil","101475","https://www.google.com/maps/?q=48.95,2.25"
"Saint-Denis","96128","https://www.google.com/maps/?q=48.9333,2.36667"
"Roubaix","95721","https://www.google.com/maps/?q=50.6942,3.17456"
"Tourcoing","91574","https://www.google.com/maps/?q=50.7239,3.16117"
"Montreuil","90652","https://www.google.com/maps/?q=48.8642,2.44322"
"Avignon","89769","https://www.google.com/maps/?q=43.9483,4.80892"
"Marseille 13","89316","https://www.google.com/maps/?q=43.3186,5.40836"
"Asnieres-sur-Seine","86742","https://www.google.com/maps/?q=48.9167,2.28333"
"Nanterre","86719","https://www.google.com/maps/?q=48.892,2.20675"
"Poitiers","85960","https://www.google.com/maps/?q=46.5833,0.33333"
"Versailles","85416","https://www.google.com/maps/?q=48.8036,2.13424"
"Courbevoie","85158","https://www.google.com/maps/?q=48.8967,2.25666"
"Creteil","84833","https://www.google.com/maps/?q=48.7927,2.46569"
"Pau","82697","https://www.google.com/maps/?q=43.3,-0.36667"
"Colombes","82300","https://www.google.com/maps/?q=48.9188,2.25404"
"Vitry-sur-Seine","81001","https://www.google.com/maps/?q=48.7872,2.40332"
"Aulnay-sous-Bois","80615","https://www.google.com/maps/?q=48.9381,2.49402"
"Marseille 08","78837","https://www.google.com/maps/?q=43.2708,5.3821"
"Marseille 15","77770","https://www.google.com/maps/?q=43.3722,5.35386"
"Marseille 09","76868","https://www.google.com/maps/?q=43.2543,5.4057"
"La Rochelle","76810","https://www.google.com/maps/?q=46.1667,-1.15"
"Champigny-sur-Marne","76726","https://www.google.com/maps/?q=48.8164,2.49366"
"Rueil-Malmaison","76616","https://www.google.com/maps/?q=48.8765,2.18967"
"Antibes","76393","https://www.google.com/maps/?q=43.5624,7.12777"
"Saint-Maur-des-Fosses","75402","https://www.google.com/maps/?q=48.7939,2.49323"
"Calais","74433","https://www.google.com/maps/?q=50.9519,1.85635"
"Beziers","74081","https://www.google.com/maps/?q=43.3412,3.21402"
"Dunkerque","71287","https://www.google.com/maps/?q=51.033,2.377"
"Aubervilliers","70914","https://www.google.com/maps/?q=48.9167,2.38333"
"Cannes","70011","https://www.google.com/maps/?q=43.5513,7.01275"
"Merignac","69791","https://www.google.com/maps/?q=44.8325,-0.63381"
"Bourges","67987","https://www.google.com/maps/?q=47.0833,2.4"
"Saint-Nazaire","67054","https://www.google.com/maps/?q=47.2833,-2.2"
"Colmar","65405","https://www.google.com/maps/?q=48.0808,7.35584"
"Valence","63864","https://www.google.com/maps/?q=44.928,4.8951"
"Quimper","63849","https://www.google.com/maps/?q=48,-4.1"
"Drancy","62488","https://www.google.com/maps/?q=48.9258,2.44533"
"Noisy-le-Grand","62420","https://www.google.com/maps/?q=48.8498,2.56266"
"Villeneuve-d'Ascq","62400","https://www.google.com/maps/?q=50.6167,3.16664"
