zipcode,population
1067,11957
1069,25491
1097,14811
1099,28021
1108,5876
1109,20010
1127,15089
1129,18915
1139,17555
1156,11317
1157,20684
1159,27666
1169,19091
1187,16423
1189,9741
1217,17501
1219,20916
1237,15536
1239,15134
1257,16277
1259,18995
1277,31798
1279,21201
1307,23815
1309,32890
1324,8874
1326,10802
1328,12342
1445,33224
1454,22281
1458,9817
1465,4101
1468,8215
1471,7592
1477,4776
1558,14551
1561,20492
1587,12390
1589,10121
1591,8795
1594,6780
1609,12490
1612,8078
1616,3893
1619,6179
1623,5408
1640,20751
1662,27093
1665,16557
1683,11035
1689,13976
1705,38283
1723,11815
1728,10458
1731,4365
1734,4390
1737,7036
1738,1113
1744,14634
1762,1147
1768,6993
1773,5512
1774,7050
1776,869
1778,3065
1796,41947
1809,24151
1814,6482
1816,5796
1819,2232
1824,6474
1825,1435
1829,1666
1833,10143
1844,13336
1847,3148
1848,3513
1855,10390
1877,19908
1896,11696
1900,9736
1904,8227
1906,2775
1909,4005
1917,17848
1920,18532
1936,11707
1945,11001
1968,24423
1979,16088
1983,9382
1987,5972
1990,3403
1993,2761
1994,1986
1996,1814
1998,1415
2625,40343
2627,11878
2633,4974
2681,12222
2689,7117
2692,7042
2694,9454
2699,7163
2708,26998
2727,5758
2730,7784
2733,5017
2736,3785
2739,4453
2742,3588
2747,6369
2748,3665
2763,28711
2779,6282
2782,4069
2785,5434
2788,4183
2791,5495
2794,3860
2796,1715
2797,1515
2799,1282
2826,25379
2827,17068
2828,12016
2829,9743
2894,7146
2899,4107
2906,18024
2923,5860
2929,5110
2943,23176
2953,6035
2956,2736
2957,5015
2959,4305
2977,36125
2979,5794
2991,9144
2994,6798
2997,5892
2999,5735
3042,18419
3044,17694
3046,20626
3048,14633
3050,14076
3051,6526
3052,1505
3053,694
3054,2302
3055,3613
3058,5228
3096,9429
3099,9370
3103,2035
3116,5914
3119,3942
3130,27681
3149,22297
3159,5357
3172,22755
3185,9714
3197,1455
3205,9068
3222,16525
3226,8798
3229,3606
3238,24729
3246,1395
3249,3503
3253,12064
4103,13506
4105,16040
4107,11601
4109,11457
4129,11601
4155,16245
4157,22275
4158,13979
4159,21913
4177,16855
4178,14379
4179,14550
4205,14523
4207,17812
4209,18908
4229,30475
4249,14730
4275,22082
4277,21732
4279,15023
4288,11173
4289,9294
4299,14253
4315,15918
4316,7578
4317,17485
4318,14218
4319,10874
4328,4101
4329,14607
4347,19253
4349,8173
4356,2286
4357,14336
4416,23530
4420,14800
4425,14164
4435,16951
4442,8801
4451,8212
4463,5338
4509,39116
4519,4933
4523,7833
4539,7814
4552,19802
4564,6704
4565,4164
4567,5377
4571,6095
4575,7178
4600,34093
4603,10356
4610,10968
4613,4071
4617,10908
4618,2203
4626,19057
4639,5353
4643,7556
4651,8399
4654,13477
4668,34365
4680,9253
4683,11809
4687,4085
4703,8898
4720,28916
4736,9403
4741,7967
4746,7795
4749,3967
4758,21716
4769,7997
4774,4601
4779,5509
4808,27018
4821,6352
4824,3113
4827,5967
4828,5736
4838,27928
4849,10313
4860,20638
4861,2297
4862,5190
4874,4716
4880,5580
4886,6522
4889,3582
4895,8588
4910,8611
4916,13189
4924,11917
4928,3436
4931,3956
4932,9156
4934,2218
4936,5430
4938,2403
6108,17376
6110,28584
6112,11992
6114,21895
6116,11479
6118,17170
6120,20065
6122,15337
6124,21269
6126,10593
6128,19725
6130,12688
6132,21041
6179,13549
6184,8851
6188,15320
6193,20750
6198,12135
6217,33852
6231,12049
6237,14170
6242,10071
6246,9180
6249,5930
6255,607
6258,11302
6259,1589
6268,19154
6279,2825
6295,25503
6308,4738
6311,4298
6313,4676
6317,9679
6333,15725
6343,9673
6347,8072
6366,24439
6369,9977
6385,8023
6386,11790
6388,5471
6406,35048
6408,1117
6420,9113
6425,3969
6429,6979
6449,30552
6456,7374
6458,2992
6463,4690
6464,1446
6466,2212
6467,2504
6469,1793
6484,21982
6485,5657
6493,18327
6502,19485
6526,28932
6528,6067
6536,11904
6537,3666
6542,8397
6543,615
6556,10049
6567,10307
6571,9184
6577,4740
6578,3801
6618,32791
6628,6652
6632,8271
6636,3153
6638,1941
6642,5249
6647,7128
6648,2416
6667,38899
6679,10365
6682,8830
6686,9199
6688,3356
6711,3494
6712,32632
6721,3726
6722,3970
6729,8951
6749,14595
6766,23334
6772,4909
6773,8107
6774,12097
6779,5855
6780,9748
6785,8641
6792,8866
6794,595
6796,2741
6800,3844
6803,2524
6808,2896
6809,3016
6842,13382
6844,19955
6846,13174
6847,14662
6849,9891
6861,1459
6862,13561
6868,2129
6869,10698
6886,36852
6888,4391
6889,6242
6895,9814
6901,10641
6905,8868
6917,14682
6925,7417
7318,30831
7330,3314
7333,8997
7338,6072
7343,3294
7349,1840
7356,6322
7366,4535
7368,3766
7381,17291
7387,2823
7389,4328
7407,32431
7422,7002
7426,8593
7427,515
7429,1357
7545,15163
7546,17457
7548,18556
7549,21721
7551,8683
7552,8861
7554,9189
7557,1524
7570,15424
7580,10798
7586,8769
7589,5143
7607,11550
7613,5510
7616,4857
7619,2854
7629,10646
7639,5808
7646,15622
7743,32100
7745,26247
7747,23339
7749,17219
7751,13190
7768,13017
7774,6804
7778,2064
7806,9953
7819,6663
7907,12574
7919,1851
7922,3813
7924,1835
7926,2665
7927,2300
7929,3675
7937,14718
7950,4159
7952,3590
7955,3872
7957,4543
7958,1695
7973,22244
7980,4093
7985,4478
7987,5242
8056,19228
8058,20025
8060,15263
8062,13392
8064,10172
8066,15163
8107,10169
8112,10577
8115,6724
8118,4831
8132,11930
8134,6533
8141,8055
8144,1224
8147,2091
8209,19709
8223,11813
8228,6817
8233,8436
8236,2806
8237,2949
8239,2365
8248,8003
8258,8292
8261,3458
8262,3329
8267,1380
8280,16941
8289,14990
8294,9386
8297,12654
8301,5049
8304,4949
8309,8073
8315,9195
8321,5595
8324,2445
8328,3585
8340,17960
8344,6303
8349,4549
8352,5547
8359,5783
8371,23623
8373,1757
8393,17865
8396,5363
8412,21744
8427,5331
8428,3784
8451,20031
8459,4294
8468,21861
8485,7645
8491,5725
8496,3070
8499,2787
8523,19433
8525,16307
8527,13575
8529,12395
8538,6264
8539,2686
8541,4050
8543,2620
8547,2584
8548,1559
8606,15700
8626,7713
8645,3779
8648,2133
9111,10338
9112,16361
9113,16056
9114,11489
9116,18176
9117,14687
9119,13280
9120,11289
9122,9144
9123,18318
9125,9132
9126,20923
9127,18560
9128,4269
9130,21097
9131,12407
9212,24865
9217,11255
9221,6840
9224,7713
9228,4207
9232,4536
9235,6349
9236,3319
9241,2198
9243,2259
9244,7582
9247,2957
9249,2483
9306,18777
9322,9550
9326,4611
9328,4763
9337,23130
9350,12369
9353,6283
9355,4170
9356,3494
9366,12910
9376,11652
9380,6851
9385,8718
9387,5657
9390,2105
9392,2753
9394,3821
9399,2678
9405,10872
9419,5506
9423,4390
9427,4937
9429,4059
9430,5681
9432,2987
9434,1549
9437,1687
9439,3920
9456,24701
9465,6878
9468,4953
9471,4800
9474,4269
9477,2895
9481,5363
9484,2344
9487,2551
9488,3564
9496,18134
9509,3946
9514,4390
9518,3647
9526,13200
9544,2924
9548,3532
9557,11523
9569,8616
9573,9330
9575,4492
9577,5091
9579,3706
9599,39861
9600,6121
9603,5871
9618,12982
9619,6417
9623,5226
9627,5996
9629,2473
9633,5374
9634,602
9638,2892
9648,19762
9661,17661
9669,15076
10115,20313
10117,12217
10119,16363
10178,12167
10179,18664
10243,28390
10245,27732
10247,32718
10249,25981
10315,28545
10317,19072
10318,22187
10319,22951
10365,22665
10367,18902
10369,19115
10405,27350
10407,21632
10409,21656
10435,15359
10437,27821
10439,25939
10551,16424
10553,8986
10555,15880
10557,16312
10559,14796
10585,12688
10587,11069
10589,12958
10623,5680
10625,10488
10627,11179
10629,11420
10707,11116
10709,8771
10711,9794
10713,10686
10715,15464
10717,14042
10719,8869
10777,12267
10779,9214
10781,11956
10783,11151
10785,10438
10787,5613
10789,4131
10823,8295
10825,9739
10827,13930
10829,13001
10961,17874
10963,12433
10965,17854
10967,19571
10969,25347
10997,23800
10999,24321
12043,13585
12045,15345
12047,13918
12049,18890
12051,22462
12053,15373
12055,13438
12057,14734
12059,16237
12099,13960
12101,14976
12103,18712
12105,22534
12107,19767
12109,14955
12157,18385
12159,14565
12161,16654
12163,17576
12165,4803
12167,18852
12169,16524
12203,19299
12205,13881
12207,21499
12209,14892
12247,19441
12249,22069
12277,13278
12279,16381
12305,20742
12307,11924
12309,15900
12347,17699
12349,21692
12351,19154
12353,31768
12355,27263
12357,13849
12359,19945
12435,16319
12437,21740
12439,9929
12459,18149
12487,18147
12489,15233
12524,25446
12526,11157
12527,9425
12529,13419
12555,26978
12557,21494
12559,17643
12587,17717
12589,9236
12619,25458
12621,16074
12623,27366
12627,35360
12629,13410
12679,25823
12681,17050
12683,24347
12685,18556
12687,17946
12689,22466
13051,21820
13053,18450
13055,27928
13057,16086
13059,14495
13086,24062
13088,24107
13089,6288
13125,31379
13127,19255
13129,6468
13156,26467
13158,17234
13159,1762
13187,30078
13189,26019
13347,27115
13349,12330
13351,14173
13353,24213
13355,21174
13357,26123
13359,22161
13403,26703
13405,4826
13407,24022
13409,26581
13435,17011
13437,14481
13439,19016
13465,16865
13467,15265
13469,16124
13503,17113
13505,6368
13507,22195
13509,15999
13581,14355
13583,20761
13585,20238
13587,20108
13589,21103
13591,26762
13593,20238
13595,19966
13597,8490
13599,13720
13627,17126
13629,11830
14050,10170
14052,11471
14053,139
14055,10661
14057,12237
14059,19704
14089,17734
14109,10049
14129,13834
14163,16361
14165,13956
14167,15485
14169,17274
14193,15505
14195,14667
14197,17889
14199,13657
14467,13113
14469,24882
14471,17443
14473,11335
14476,13558
14478,24831
14480,28576
14482,22193
14513,22479
14532,34096
14542,23286
14547,11763
14548,9973
14550,8193
14552,11686
14554,3946
14558,8601
14612,40172
14621,8836
14624,8650
14641,26761
14656,10745
14662,4073
14669,6345
14712,24526
14715,12409
14727,8663
14728,2526
14770,22112
14772,19466
14774,6621
14776,23481
14778,7648
14789,5367
14793,3623
14797,10849
14798,3432
14806,12212
14822,9764
14823,3148
14827,4607
14828,1316
14913,21726
14929,7599
14943,20283
14947,6559
14959,9258
14974,23680
14979,7651
15230,16879
15232,10015
15234,19126
15236,15475
15295,7167
15299,5896
15306,11790
15320,4031
15324,4352
15326,5469
15328,6179
15344,25565
15345,21782
15366,33351
15370,20762
15374,6893
15377,4389
15378,4685
15517,30982
15518,11146
15526,5988
15528,3334
15537,22085
15562,9724
15566,11827
15569,7771
15711,22201
15712,6987
15713,4549
15732,13868
15738,10568
15741,6620
15745,9744
15746,2255
15748,1269
15749,8652
15754,7056
15755,2620
15757,2213
15806,17263
15827,12838
15831,12753
15834,10405
15837,4237
15838,6547
15848,20015
15859,9060
15864,1981
15868,2090
15890,32479
15898,6816
15907,13897
15910,4850
15913,9842
15926,13865
15936,6618
15938,4504
16225,23529
16227,15774
16230,7137
16244,9825
16247,5326
16248,5814
16259,20092
16269,8577
16278,16795
16303,31833
16306,6316
16307,3972
16321,37746
16341,18900
16348,22437
16356,20602
16359,5515
16515,43357
16540,14753
16547,7732
16548,11070
16552,6109
16556,4462
16559,4320
16562,5469
16567,5945
16727,21896
16761,25527
16766,7166
16767,6573
16775,17346
16792,13669
16798,6178
16816,24358
16818,8234
16827,3007
16831,6175
16833,6616
16835,5666
16837,1730
16845,12736
16866,13406
16868,3329
16909,19607
16928,17023
16945,4027
16949,3330
17033,29455
17034,19513
17036,15133
17039,8939
17087,5680
17089,4833
