,Citation Number,Date Issued,Time Issued,Location,District,Cited Person Sex,Cited Person Race,Cited Person Age,Offense Code,Offense Description,Officer Age,Officer Sex,Officer Race,Quarter,Year
0,   C10457,2019-02-16 00:00:00,16:05:00,S STATE ROAD 37 RAMP,LB523,M,W,48,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
1,   C10351,2019-02-03 00:00:00,09:46:00,121 E KIRKWOOD AVE,LB102,M,S,21,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,1,2019
2,   C10189,2019-01-15 00:00:00,14:27:00,W DODDS ST & S ROGERS ST,LB412,M,W,60,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
3,   C10685,2019-03-11 00:00:00,11:45:00,N MAPLE ST & W 11TH ST,LB518,F,B,20,9-21-8-32,DISREGARDING STOP SIGN,26,M,W,1,2019
4,   C10085,2019-01-03 00:00:00,20:59:00,S WOODSCREST DR & E 2ND ST,LB304,F,W,41,9-19-6-3,NO OR IMPROPER HEADLIGHTS,26,M,W,1,2019
5,   C10684,2019-03-11 00:00:00,12:40:00,W 3RD ST & S CORY LN,LB522,F,W,72,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2019
6,   C10123,2019-01-05 00:00:00,15:52:00,S GRANT ST & E 3RD ST,LB104,M,W,20,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
7,   C10683,2019-03-11 00:00:00,12:51:00,W 3RD ST & S CORY LN,LB522,F,W,24,9-21-5-2(1),EXCEEDING URBAN SPEED LIMIT,26,M,W,1,2019
8,   C10751,2019-03-16 00:00:00,13:14:00,W 2ND ST & S COLLEGE AVE,LB410,F,W,25,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
9,   C10404,2019-02-08 00:00:00,20:53:00,S HENDERSON ST & E ALLEN ST,LB314,M,U,18,9-21-8-32,DISREGARDING STOP SIGN,26,M,W,1,2019
10,   C10084,2019-01-03 00:00:00,21:18:00,S COLLEGE MALL RD & E 3RD ST,LB221,M,W,29,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
11,   C10689,2019-03-08 00:00:00,19:37:00,S ROGERS ST & W 2ND ST,LB409,M,W,44,9-21-3-7,DISREGARDING AUTOMATIC SIGNAL,26,M,W,1,2019
12,   C10608,2019-03-05 00:00:00,15:47:00,W 3RD ST & S CORY LN,LB522,M,W,52,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,1,2019
13,   C10624,2019-03-05 00:00:00,16:30:00,1299 E COBBLEFIELD CT,LB313,M,A,20,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
14,   C10688,2019-03-11 00:00:00,10:23:00,S WALNUT STREET PIKE & S HENDERSON ST,LB328,M,W,50,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2019
15,   C10687,2019-03-11 00:00:00,10:39:00,S WALNUT STREET PIKE & E BURKS DR,LB336,F,W,79,9-21-5-2(1),EXCEEDING URBAN SPEED LIMIT,26,M,W,1,2019
16,   C10401,2019-02-08 00:00:00,12:17:00,S WASHINGTON ST & E WYLIE ST,LB301,F,W,33,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
17,   C10401,2019-02-08 00:00:00,12:17:00,S WASHINGTON ST & E WYLIE ST,LB301,F,W,33,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,1,2019
18,   C10686,2019-03-11 00:00:00,11:07:00,S WALNUT STREET PIKE & S HENDERSON ST,LB328,F,W,53,9-21-8-32,DISREGARDING STOP SIGN,26,M,W,1,2019
19,   C10460,2019-02-17 00:00:00,15:48:00,ALLENDALE CT & ALLENDALE DR,LB330,M,W,42,9-21-5-6,EXCEEDING POSTED SPEED LIMIT,26,M,W,1,2019
20,   C10456,2019-02-16 00:00:00,16:37:00,W 3RD ST & S PATTERSON DR,LB521,F,W,53,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
21,   C10122,2019-01-05 00:00:00,15:27:00,S WASHINGTON ST & E 3RD ST,LB104,F,W,34,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
22,   C10342,2019-01-31 00:00:00,15:18:00,S WASHINGTON ST & E 2ND ST,LB301,F,W,22,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
23,   C10487,2019-02-17 00:00:00,16:04:00,S HENDERSON ST & E WINSLOW RD,LB327,F,S,51,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
24,   C10350,2019-02-02 00:00:00,18:23:00,E 2ND ST & S LINCOLN ST,LB301,M,W,30,9-18-2-7,EXPIRED LICENSE PLATES,26,M,W,1,2019
25,   C10192,2019-01-16 00:00:00,13:25:00,W 3RD ST & S LIBERTY DR,LB403,M,B,26,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,53,F,W,1,2019
26,   C10127,2019-01-07 00:00:00,07:47:00,I69-37 & W 3RD ST EXIT SB,LB523,M,B,31,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,53,F,W,1,2019
27,   C10086,2019-01-03 00:00:00,14:54:00,S WALNUT ST & E SMITH AVE,LB103,F,W,62,35-45-3-2,LITTERING,25,M,L,1,2019
28,   C10464,2019-02-19 00:00:00,15:36:00,W 3RD ST & S ROGERS ST,LB103,F,W,59,35-45-3-3,THROWING BURNING MATERIAL /MV,25,M,L,1,2019
29,   C10644,2019-03-05 00:00:00,22:29:00,S ROGERS ST & S ROCKPORT RD,LB420,F,W,54,9-21-8-2,LEFT OF CENTER,25,M,L,1,2019
30,   C10644,2019-03-05 00:00:00,22:29:00,S ROGERS ST & S ROCKPORT RD,LB420,F,W,54,9-21-7-2,LIGHTS; TIME FOR DISPLAY; EXCEPTION,25,M,L,1,2019
31,   C10281,2019-01-24 00:00:00,15:32:00,N COLLEGE AVE & W 14TH ST,LB519,M,W,47,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,25,M,L,1,2019
32,   C10352,2019-02-02 00:00:00,18:57:00,W STATE ROAD 46 & N CURRY PIKE,LMN12,F,L,59,9-21-5-2,SPEED MAXIMUM,25,M,L,1,2019
33,   C10088,2019-01-03 00:00:00,20:12:00,S ROGERS ST & W HILLSIDE DR,LB412,F,W,40,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,L,1,2019
34,   C10288,2019-01-25 00:00:00,22:33:00,S WALNUT ST & E SOUTH DR,LB422,M,B,21,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,1,2019
35,   C10139,2019-01-09 00:00:00,01:40:00,S WALNUT ST & E ALLEN ST,LB314,F,W,35,9-24-19-2,DRIVING WHILE SUSPENDED/WITHIN 10 YEARS,26,M,W,1,2019
36,   C10614,2019-02-26 00:00:00,22:33:00,3000 S WALNUT STREET PIKE,LB328,M,A,31,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,1,2019
37,   C10187,2019-01-14 00:00:00,22:57:00,S HENDERSON ST & E WINSLOW RD,LB327,F,B,27,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,1,2019
38,   C10580,2019-03-01 00:00:00,23:11:00,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,M,W,49,9-21-8-42,"STOP REQUIRED, SIDEWALK",26,M,W,1,2019
39,   C10170,2019-01-13 00:00:00,00:38:00,E MILLER DR & S HENDERSON ST,LB316,M,L,20,9-21-5-2,SPEED MAXIMUM,26,M,W,1,2019
40,   C10579,2019-03-01 00:00:00,19:19:00,N FAIRVIEW ST & W 10TH ST,LB520,M,B,18,9-21-8-41,TRAFFIC CONTROL DEVICE DIS,26,M,W,1,2019
41,   C10636,2019-03-03 00:00:00,16:22:00,W STATE ROAD 45 46 BYPASS & N MONROE ST,LB510,M,B,19,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,1,2019
42,   C10171,2019-01-13 00:00:00,13:54:00,2400 N WALNUT ST,LB209,M,W,23,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
43,   C10890,2019-03-27 00:00:00,23:53:00,S WALNUT STREET PIKE & S HENDERSON ST,LB328,F,W,24,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,26,M,W,1,2019
44,   C10891,2019-03-27 00:00:00,23:50:00,S WALNUT STREET PIKE & S HENDERSON ST,LB328,F,W,24,9-21-8-41,TRAFFIC CONTROL DEVICE DIS,26,M,W,1,2019
