,Citation Number,Date Issued,Time Issued,Location ,District,Cited Person Age,Cited Person Sex,Cited Person Race,Offense Code,Offense Description,Officer Age,Officer Sex,Officer Race,Quarter,Year
0,C1979,2016-01-14,16:00:00,N WALNUT ST & E 14TH ST,LB213,35,M,W,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2016
1,C1980,2016-01-14,16:26:00,S WASHINGTON ST & E 3RD ST,LB104,43,M,W,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2016
2,C1981,2016-01-14,16:35:00,N WALNUT ST & E 7TH ST,LB102,22,M,W,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2016
3,C1982,2016-01-14,16:20:00,S WASHINGTON ST & E 3RD ST,LB104,26,F,W,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2016
4,C1983,2016-01-14,16:50:00,S WALNUT ST & W 3RD ST,LB103,27,M,W,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2016
5,C1984,2016-01-14,17:25:00,N COLLEGE AVE & W 6TH ST,LB101,28,M,W,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2016
6,C1985,2016-01-14,11:30:00,S LINCOLN ST & E 4TH ST,LB104,22,M,W,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2016
7,C1986,2016-01-14,11:15:00,S GRANT ST & E 4TH ST,LB104,50,M,W,9-19-10-8,SEATBELT VIOLATION PASSENGER,26,M,W,1,2016
8,C1987,2016-01-14,11:55:00,E 4TH ST & S DUNN ST,LB104,65,M,W,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2016
9,C1988,2016-01-14,11:40:00,E 4TH ST & S DUNN ST,LB104,43,M,W,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2016
10,C1991,2016-01-15,12:10:00,S WASHINGTON ST & E 2ND ST,LB301,49,M,W,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2016
11,C2010,2016-01-19,20:15:00,S COLLEGE MALL RD & E 3RD ST,LB305,40,F,W,9-18-2-7,EXPIRED LICENSE PLATES,26,M,W,1,2016
12,C2011,2016-01-19,21:03:00,N INDIANA AVE & E 13TH ST,LB214,19,F,W,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,1,2016
13,C2020,2016-01-22,14:10:00,500 S LIBERTY DR; KROGER WHITEHALL,LB403,64,F,W,9-18-2-7,EXPIRED LICENSE PLATES,26,M,W,1,2016
14,C2153,2016-02-15,17:55:00,S STATE ROAD 446 & E LAMPKINS RIDGE RD,LMS10,19,F,W,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,1,2016
15,C2163,2016-02-16,15:35:00,S COLLEGE MALL RD & E BUICK CADILLAC BLVD,LB305,24,F,B,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,26,M,W,1,2016
16,C2215,2016-02-22,16:28:00,S WALNUT ST & W DODDS ST,LB411,30,F,W,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,1,2016
17,C2367,2016-03-14,20:13:00,2423 S WALNUT ST; DAIRY QUEEN,LB327,21,F,W,9-18-2-27,FALSE REGISTRATION,26,M,W,1,2016
18,C1990,2016-01-15,11:59:00,S ROGERS ST & W KIRKWOOD AVE,LB101,62,M,W,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,51,F,W,1,2016
19,C2115,2016-02-05,11:22:00,500 S LANDMARK AVE; SIRA IMAGING CENTER,LB406,61,F,W,9-18-2-7,EXPIRED LICENSE PLATES,51,F,W,1,2016
20,C2333,2016-03-08,13:46:00,800 S WOODLAWN AVE,LB302,43,M,W,9-18-2-7,EXPIRED LICENSE PLATES,51,F,W,1,2016
21,C2334,2016-03-08,12:47:00,S FRANKLIN RD & W 3RD ST,LB404,51,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,51,F,W,1,2016
22,C2336,2016-03-08,09:20:00,S WASHINGTON ST & E 3RD ST,LB104,60,M,B,9-18-2-7,EXPIRED LICENSE PLATES,51,F,W,1,2016
23,C2258,2016-02-27,19:00:00,422 E KIRKWOOD AVE; WHICH WICH SUPERIOR SANDWICHES; STE 401,LB104,22,M,W,14.09.030,NOISE VIOLATION,31,M,W,1,2016
24,C1907,2016-01-03,19:40:00,N MAPLE ST & W 11TH ST,LB518,49,M,W,9-21-8-32,DISREGARDING STOP SIGN,25,M,W,1,2016
25,C1931,2016-01-04,20:16:00,1351 S COLLEGE MALL RD; AMC SHOWPLACE THEATER 11 EAST,LB310,16,M,B,9-19-6-4,IMPROPER TAIL/LICENSE PLATE LI,25,M,W,1,2016
26,C1932,2016-01-04,16:35:00,N ILLINOIS ST & W 11TH ST,LB517,37,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,1,2016
27,C2012,2016-01-20,17:50:00,W KIRKWOOD AVE & N ADAMS ST,LB521,20,M,W,9-18-2-29,VEHICLES REQUIRING REGISTRATIO,25,M,W,1,2016
28,C2013,2016-01-20,17:50:00,W KIRKWOOD AVE & N ADAMS ST,LB521,20,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,25,M,W,1,2016
29,C2021,2016-01-23,21:45:00,S FESS AVE & E 2ND ST,LB302,40,M,B,9-21-8-41,TRAFFIC CONTROL DEVICE DIS,25,M,W,1,2016
