Blunt Object,Category of Force Event - Measured at Event Level,Disposition/Custody,DOW,Firearm,Firearm - Implied,Firearm - Replica,Force Applied - 1,Force Applied - 2,Force Applied - 3,Force Applied - 4,Force Applied - 5,Force Applied - 6,Force Applied - 7,Force Applied - 8,Hour (6Hr),Initial Call Category,Initial Call type,Knife / Edged Weapon / Stabbing Instrument,"Mental Health Crisis - Prior to Force, Perceived Lack of Compliance",Month,Needle / Spit / Bodily Fluids,No weapon (unarmed),Officer,Officer Precinct,Officer Tenure,Other Weapon,Record ID,Subject,Subject - Race,Subject - Sex,Subject - Transient,Subject Age,Subject Instance,Subject Resistance - 1,Subject Resistance - 2,Subject Resistance - 3,Subject Resistance - 4,Subject Resistance - 5,Subject Resistance - 6,Subject Resistance - 7,Subject Resistance - 8,Type of Call,"Under the Influence of Alcohol - Prior to Force, Perceived Condition","Under the Influence of Drugs - Prior to Force, Perceived Condition",Weapon Present or reported but not used or threatened use,Year
,,Arrest-Felony,SUN,,,,CEW,CEW,CEW,,,,,,-,Stolen Vehicle,VEHICLE RECOVERED,,,August,,No weapon (unarmed),212461,East Precinct,8.773820396,,675518304,500540,White,Male,Yes,39.913546423,500540675518304,Active,Active,Active,,,,,,Dispatched,,Yes,,2017
,,Arrest-Felony,SUN,,,,PFA,,,,,,,,-,Shots Fired,SHOTS FIRED,,No,August,,,836731,East Precinct,1.542665525,,477518302,466101,Black,Male,No,27.591980594,466101477518302,Active,,,,,,,,Self-Initiated,Yes,,Weapon Present or reported but not used or threatened use,2017
,,Arrest-Felony,SUN,,,,PFA,,,,,,,,-,Shots Fired,SHOTS FIRED,,No,August,,,649511,East Precinct,8.446784627,,477518302,466101,Black,Male,No,27.591990107,466101477518302,Active,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2017
,,Arrest-Felony,SUN,,,,PFA,,,,,,,,-,Stolen Vehicle,VEHICLE STOLEN - PRIORITY,,,July,,,798721,East Precinct,5.043689117,,357518041,614942,White,Male,No,25.210812405,614942357518041,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017
,,Arrest-Felony,SUN,,,,PFA,,,,,,,,-,Welfare Check,WELFARE CHECK - PRIORITY,,,August,,No weapon (unarmed),1053550,East Precinct,15.716990107,,19518308,371478,White,Male,Yes,31.678633942,37147819518308,Active,,,,,,,,Dispatched,,Yes,,2017
,,Arrest-Felony,SUN,,,,Takedown,,,,,,,,-,Suspicious,SUSPICIOUS - PRIORITY,,Unclear,July,,No weapon (unarmed),1087651,East Precinct,6.165812405,,343517861,414626,Black,Male,Yes,33.368552131,414626343517861,Active,,,,,,,,Dispatched,,Yes,,2017
,,Arrest-Misdemeanor,SUN,,,,Less Lethal,,,,,,,,-,Disturbance,DISTURBANCE - WITH WEAPON *H,,No,July,,,797721,East Precinct,4.983753805,,744517765,557140,Hispanic,Male,No,24.833068874,557140744517765,Aggressive,,,,,,,,Dispatched,Yes,No,Weapon Present or reported but not used or threatened use,2017
,,Arrest-Misdemeanor,SUN,,,,PFA,,,,,,,,-,Disturbance,DISTURBANCE - WITH WEAPON *H,,No,July,,,213461,East Precinct,1.696082572,,744517765,557140,Hispanic,Male,No,24.833068874,557140744517765,Aggressive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,2017
,,Arrest-Misdemeanor,SUN,,,,PFA,PFA,,,,,,,-,Disturbance,DISTURBANCE - WITH WEAPON *H,,No,July,,,1102751,East Precinct,4.476856925,,744517765,557140,Hispanic,Male,No,24.833021309,557140744517765,Aggressive,Aggressive,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,2017
,,Arrest-Misdemeanor,SUN,,,,Takedown,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),806220,North Precinct,10.543476027,,176517949,381478,White,Male,Yes,38.674982877,381478176517949,Active,,,,,,,,Dispatched,,Yes,,2017
,,Arrest-Misdemeanor,SUN,,,,Takedown,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),1062150,North Precinct,11.151655251,,176517949,381478,White,Male,Yes,38.674942922,381478176517949,Active,,,,,,,,Dispatched,,Yes,,2017
,,Arrest-Misdemeanor,SUN,,,,Takedown,,,,,,,,-,Unwanted Person,UNWANTED PERSON,Knife / Edged Weapon / Stabbing Instrument,No,July,,,214861,Central Precinct,0.248734779,,511517772,535640,White,Male,Yes,35.185721081,535640511517772,Active,,,,,,,,Self-Initiated,Yes,Yes,,2017
,,Arrest-Misdemeanor,SUN,,,,Takedown,,,,,,,,-,Unwanted Person,UNWANTED PERSON,Knife / Edged Weapon / Stabbing Instrument,No,July,,,148661,Central Precinct,5.993940259,,511517772,535640,White,Male,Yes,35.185721081,535640511517772,Active,,,,,,,,Self-Initiated,Yes,,,2017
,,Arrest-Misdemeanor,SUN,,,,Takedown,,,,,,,,-,Unwanted Person,UNWANTED PERSON,Knife / Edged Weapon / Stabbing Instrument,No,July,,,920631,Central Precinct,6.339145738,,511517772,535640,White,Male,Yes,35.185721081,535640511517772,Aggressive,,,,,,,,Self-Initiated,Yes,,,2017
,,Arrest-Misdemeanor,SUN,,Firearm - Implied,,CEW,Takedown,CEW,,,,,,-,Warrant,WARRANT,,,July,,,166661,North Precinct,6.051409817,,243518080,515811,Black,Male,No,26.232231735,515811243518080,Active,Active,Active,,,,,,Self-Initiated,,,,2017
,,Arrest-Misdemeanor,SUN,,Firearm - Implied,,Takedown,CHWI,Takedown,,,,,,-,Warrant,WARRANT,,,July,,,243671,North Precinct,5.867848174,,243518080,515811,Black,Male,No,26.232231735,515811243518080,Active,Active,Active,,,,,,Self-Initiated,,,,2017
,,Arrest-Warrant,SUN,,,,PFA,,,,,,,,-,Subject Stop,PERSON CONTACT (86),,No,August,,No weapon (unarmed),326279,Central Precinct,9.810492770,,359518221,601059,White,Male,Yes,29.889944825,601059359518221,Active,,,,,,,,Self-Initiated,,,,2017
,,Arrest-Warrant,SUN,,,,PFA,,,,,,,,-,Warrant,WARRANT,,No,July,,No weapon (unarmed),172561,East Precinct,7.487775875,,728517765,548041,White,Male,No,25.150789574,548041728517765,Active,,,,,,,,Dispatched,,,,2017
,,Arrest-Warrant,SUN,,,,Takedown,,,,,,,,-,Other,DETAIL,,No,July,,No weapon (unarmed),276671,Central Precinct,7.411278539,,481518122,413207,White,Male,No,22.509908676,413207481518122,Active,,,,,,,,Self-Initiated,Yes,,,2017
,,Detained and Released,SUN,,,,PFA,,,,,,,,-,Shots Fired,SHOTS FIRED,,No,August,,,836731,East Precinct,1.542665525,,477518302,435380,White,Female,No,23.504309361,435380477518302,Passive,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2017
,,Detained and Released,SUN,,,,PFA,,,,,,,,-,Shots Fired,SHOTS FIRED,,No,August,,,649511,East Precinct,8.446784627,,477518302,435380,White,Female,No,23.504318874,435380477518302,Passive,,,,,,,,Self-Initiated,,,Weapon Present or reported but not used or threatened use,2017
,,Release to Medical,SUN,,,,Takedown,,,,,,,,-,Welfare Check,WELFARE CHECK - PRIORITY,,Yes,July,,No weapon (unarmed),808220,North Precinct,10.543373288,,153517949,275848,Black,Female,No,26.713236301,275848153517949,Aggressive,,,,,,,,Dispatched,,,,2017
,,Arrest-Felony,MON,,,,K9,,,,,,,,-,Assist,ASSIST - CITIZEN OR AGENCY,,,July,,No weapon (unarmed),880630,K9,15.583957382,,889518046,457547,White,Male,No,59.025053272,457547889518046,Active,,,,,,,,Dispatched,,,,2017
,,Arrest-Felony,MON,,,,Takedown,,,,,,,,-,Subject Stop,PERSON CONTACT (86),,,August,,No weapon (unarmed),1056551,Central Precinct,2.216453577,,520518313,590225,White,Male,No,39.975357686,590225520518313,Active,,,,,,,,Self-Initiated,,,,2017
,,Arrest-Misdemeanor,MON,,,,PFA,,,,,,,,-,Threat,THREAT - PRIORITY,,,July,,,650810,Central Precinct,13.839726027,,146518049,3696548,Black,Male,No,25.957534247,3696548146518049,Passive,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017
,,Arrest-Misdemeanor,MON,,,,Takedown,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,August,,No weapon (unarmed),501691,North Precinct,5.688184932,,672518314,420924,White,Male,No,20.216952055,420924672518314,Active,,,,,,,,Dispatched,,,,2017
