,Event ,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic",Year
0,B19-00259,1,DOMESTIC,911,2019-01-02 00:00:00,19:44:00,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
1,B19-00292,1,TRAFFIC STOP,OFFICER REPORT,2019-01-03 00:00:00,00:35:00,NO,NO,YES,NO,YES,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
2,B19-00321,4,MENTAL HEALTH,TELEPHONE,2019-01-03 00:00:00,12:05:00,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,0.0,1.0,45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
3,B19-00454,2,SUSPICIOUS ACT,911,2019-01-04 00:00:00,10:01:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE - OTHER,NO,NO,0.0,1.0,37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
4,B19-00737,5,WELFARE CHECK,TELEPHONE,2019-01-06 00:00:00,11:57:00,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,0.0,1.0,56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
5,B19-00792,2,ROBBERY,TELEPHONE,2019-01-06 00:00:00,19:57:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,0.0,1.0,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
6,B19-00792,2,ROBBERY,TELEPHONE,2019-01-06 00:00:00,19:57:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,0.0,1.0,29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
7,B19-00792,2,ROBBERY,TELEPHONE,2019-01-06 00:00:00,19:57:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,VICTIM,NO,NO,0.0,1.0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
8,B19-00824,5,DOMESTIC,TELEPHONE,2019-01-06 00:00:00,23:47:00,YES,NO,NO,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,YES,NO,0.0,1.0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
9,B19-00943,3,DISTURBANCE,TELEPHONE,2019-01-07 00:00:00,22:56:00,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1.0,0.0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
